Fecha;Magnitud;Zona;Estación;Valor
2024-01-01;Humedad relativa;Noroeste;Casa de Campo;86
2024-01-02;Humedad relativa;Noroeste;Casa de Campo;95
2024-01-03;Humedad relativa;Noroeste;Casa de Campo;98
2024-01-04;Humedad relativa;Noroeste;Casa de Campo;99
2024-01-05;Humedad relativa;Noroeste;Casa de Campo;78
2024-01-06;Humedad relativa;Noroeste;Casa de Campo;65
2024-01-07;Humedad relativa;Noroeste;Casa de Campo;69
2024-01-08;Humedad relativa;Noroeste;Casa de Campo;75
2024-01-09;Humedad relativa;Noroeste;Casa de Campo;81
2024-01-10;Humedad relativa;Noroeste;Casa de Campo;93
2024-01-11;Humedad relativa;Noroeste;Casa de Campo;77
2024-01-12;Humedad relativa;Noroeste;Casa de Campo;70
2024-01-13;Humedad relativa;Noroeste;Casa de Campo;81
2024-01-14;Humedad relativa;Noroeste;Casa de Campo;94
2024-01-15;Humedad relativa;Noroeste;Casa de Campo;99
2024-01-16;Humedad relativa;Noroeste;Casa de Campo;88
2024-01-17;Humedad relativa;Noroeste;Casa de Campo;90
2024-01-18;Humedad relativa;Noroeste;Casa de Campo;88
2024-01-19;Humedad relativa;Noroeste;Casa de Campo;94
2024-01-20;Humedad relativa;Noroeste;Casa de Campo;78
2024-01-21;Humedad relativa;Noroeste;Casa de Campo;82
2024-01-22;Humedad relativa;Noroeste;Casa de Campo;92
2024-01-23;Humedad relativa;Noroeste;Casa de Campo;87
2024-01-24;Humedad relativa;Noroeste;Casa de Campo;81
2024-01-25;Humedad relativa;Noroeste;Casa de Campo;80
2024-01-26;Humedad relativa;Noroeste;Casa de Campo;75
2024-01-27;Humedad relativa;Noroeste;Casa de Campo;73
2024-01-28;Humedad relativa;Noroeste;Casa de Campo;75
2024-01-29;Humedad relativa;Noroeste;Casa de Campo;78
2024-01-30;Humedad relativa;Noroeste;Casa de Campo;83
2024-01-31;Humedad relativa;Noroeste;Casa de Campo;88
