Fecha;Magnitud;Zona;Estación;Valor
2024-02-01;Humedad relativa;Noroeste;Casa de Campo;75
2024-02-02;Humedad relativa;Noroeste;Casa de Campo;75
2024-02-03;Humedad relativa;Noroeste;Casa de Campo;71
2024-02-04;Humedad relativa;Noroeste;Casa de Campo;67
2024-02-05;Humedad relativa;Noroeste;Casa de Campo;71
2024-02-06;Humedad relativa;Noroeste;Casa de Campo;82
2024-02-07;Humedad relativa;Noroeste;Casa de Campo;92
2024-02-08;Humedad relativa;Noroeste;Casa de Campo;86
2024-02-09;Humedad relativa;Noroeste;Casa de Campo;96
2024-02-10;Humedad relativa;Noroeste;Casa de Campo;70
2024-02-11;Humedad relativa;Noroeste;Casa de Campo;81
2024-02-12;Humedad relativa;Noroeste;Casa de Campo;90
2024-02-13;Humedad relativa;Noroeste;Casa de Campo;90
2024-02-14;Humedad relativa;Noroeste;Casa de Campo;89
2024-02-15;Humedad relativa;Noroeste;Casa de Campo;93
2024-02-16;Humedad relativa;Noroeste;Casa de Campo;67
2024-02-17;Humedad relativa;Noroeste;Casa de Campo;69
2024-02-18;Humedad relativa;Noroeste;Casa de Campo;67
2024-02-19;Humedad relativa;Noroeste;Casa de Campo;70
2024-02-20;Humedad relativa;Noroeste;Casa de Campo;65
2024-02-21;Humedad relativa;Noroeste;Casa de Campo;77
2024-02-22;Humedad relativa;Noroeste;Casa de Campo;85
2024-02-23;Humedad relativa;Noroeste;Casa de Campo;69
2024-02-24;Humedad relativa;Noroeste;Casa de Campo;66
2024-02-25;Humedad relativa;Noroeste;Casa de Campo;89
2024-02-26;Humedad relativa;Noroeste;Casa de Campo;66
2024-02-27;Humedad relativa;Noroeste;Casa de Campo;51
2024-02-28;Humedad relativa;Noroeste;Casa de Campo;54
2024-02-29;Humedad relativa;Noroeste;Casa de Campo;68
