Fecha;Magnitud;Zona;Estación;Valor
2024-07-01;Humedad relativa;Noroeste;Casa de Campo;49
2024-07-02;Humedad relativa;Noroeste;Casa de Campo;43
2024-07-03;Humedad relativa;Noroeste;Casa de Campo;31
2024-07-04;Humedad relativa;Noroeste;Casa de Campo;30
2024-07-05;Humedad relativa;Noroeste;Casa de Campo;32
2024-07-06;Humedad relativa;Noroeste;Casa de Campo;38
2024-07-07;Humedad relativa;Noroeste;Casa de Campo;45
2024-07-08;Humedad relativa;Noroeste;Casa de Campo;33
2024-07-09;Humedad relativa;Noroeste;Casa de Campo;31
2024-07-10;Humedad relativa;Noroeste;Casa de Campo;42
2024-07-11;Humedad relativa;Noroeste;Casa de Campo;39
2024-07-12;Humedad relativa;Noroeste;Casa de Campo;31
2024-07-13;Humedad relativa;Noroeste;Casa de Campo;38
2024-07-14;Humedad relativa;Noroeste;Casa de Campo;23
2024-07-15;Humedad relativa;Noroeste;Casa de Campo;44
2024-07-16;Humedad relativa;Noroeste;Casa de Campo;33
2024-07-17;Humedad relativa;Noroeste;Casa de Campo;30
2024-07-18;Humedad relativa;Noroeste;Casa de Campo;31
2024-07-19;Humedad relativa;Noroeste;Casa de Campo;27
2024-07-20;Humedad relativa;Noroeste;Casa de Campo;29
2024-07-21;Humedad relativa;Noroeste;Casa de Campo;37
2024-07-22;Humedad relativa;Noroeste;Casa de Campo;24
2024-07-23;Humedad relativa;Noroeste;Casa de Campo;27
2024-07-24;Humedad relativa;Noroeste;Casa de Campo;27
2024-07-25;Humedad relativa;Noroeste;Casa de Campo;26
2024-07-26;Humedad relativa;Noroeste;Casa de Campo;36
2024-07-27;Humedad relativa;Noroeste;Casa de Campo;34
2024-07-28;Humedad relativa;Noroeste;Casa de Campo;29
2024-07-29;Humedad relativa;Noroeste;Casa de Campo;35
2024-07-30;Humedad relativa;Noroeste;Casa de Campo;32
2024-07-31;Humedad relativa;Noroeste;Casa de Campo;30
