Fecha;Magnitud;Zona;Estación;Valor
2024-06-01;Humedad relativa;Noroeste;Casa de Campo;41
2024-06-02;Humedad relativa;Noroeste;Casa de Campo;38
2024-06-03;Humedad relativa;Noroeste;Casa de Campo;43
2024-06-04;Humedad relativa;Noroeste;Casa de Campo;45
2024-06-05;Humedad relativa;Noroeste;Casa de Campo;37
2024-06-06;Humedad relativa;Noroeste;Casa de Campo;40
2024-06-07;Humedad relativa;Noroeste;Casa de Campo;38
2024-06-08;Humedad relativa;Noroeste;Casa de Campo;71
2024-06-09;Humedad relativa;Noroeste;Casa de Campo;60
2024-06-10;Humedad relativa;Noroeste;Casa de Campo;78
2024-06-11;Humedad relativa;Noroeste;Casa de Campo;51
2024-06-12;Humedad relativa;Noroeste;Casa de Campo;48
2024-06-13;Humedad relativa;Noroeste;Casa de Campo;43
2024-06-14;Humedad relativa;Noroeste;Casa de Campo;38
2024-06-15;Humedad relativa;Noroeste;Casa de Campo;39
2024-06-16;Humedad relativa;Noroeste;Casa de Campo;34
2024-06-17;Humedad relativa;Noroeste;Casa de Campo;39
2024-06-18;Humedad relativa;Noroeste;Casa de Campo;55
2024-06-19;Humedad relativa;Noroeste;Casa de Campo;67
2024-06-20;Humedad relativa;Noroeste;Casa de Campo;72
2024-06-21;Humedad relativa;Noroeste;Casa de Campo;53
2024-06-22;Humedad relativa;Noroeste;Casa de Campo;34
2024-06-23;Humedad relativa;Noroeste;Casa de Campo;45
2024-06-24;Humedad relativa;Noroeste;Casa de Campo;47
2024-06-25;Humedad relativa;Noroeste;Casa de Campo;45
2024-06-26;Humedad relativa;Noroeste;Casa de Campo;54
2024-06-27;Humedad relativa;Noroeste;Casa de Campo;44
2024-06-28;Humedad relativa;Noroeste;Casa de Campo;50
2024-06-29;Humedad relativa;Noroeste;Casa de Campo;76
2024-06-30;Humedad relativa;Noroeste;Casa de Campo;62
