Fecha;Magnitud;Zona;Estación;Valor
2024-03-01;Humedad relativa;Noroeste;Casa de Campo;59
2024-03-02;Humedad relativa;Noroeste;Casa de Campo;90
2024-03-03;Humedad relativa;Noroeste;Casa de Campo;66
2024-03-04;Humedad relativa;Noroeste;Casa de Campo;81
2024-03-05;Humedad relativa;Noroeste;Casa de Campo;59
2024-03-06;Humedad relativa;Noroeste;Casa de Campo;68
2024-03-07;Humedad relativa;Noroeste;Casa de Campo;81
2024-03-08;Humedad relativa;Noroeste;Casa de Campo;83
2024-03-09;Humedad relativa;Noroeste;Casa de Campo;90
2024-03-10;Humedad relativa;Noroeste;Casa de Campo;81
2024-03-11;Humedad relativa;Noroeste;Casa de Campo;59
2024-03-12;Humedad relativa;Noroeste;Casa de Campo;67
2024-03-13;Humedad relativa;Noroeste;Casa de Campo;65
2024-03-14;Humedad relativa;Noroeste;Casa de Campo;77
2024-03-15;Humedad relativa;Noroeste;Casa de Campo;79
2024-03-16;Humedad relativa;Noroeste;Casa de Campo;82
2024-03-17;Humedad relativa;Noroeste;Casa de Campo;75
2024-03-18;Humedad relativa;Noroeste;Casa de Campo;74
2024-03-19;Humedad relativa;Noroeste;Casa de Campo;65
2024-03-20;Humedad relativa;Noroeste;Casa de Campo;61
2024-03-21;Humedad relativa;Noroeste;Casa de Campo;56
2024-03-22;Humedad relativa;Noroeste;Casa de Campo;57
2024-03-23;Humedad relativa;Noroeste;Casa de Campo;62
2024-03-24;Humedad relativa;Noroeste;Casa de Campo;58
2024-03-25;Humedad relativa;Noroeste;Casa de Campo;82
2024-03-26;Humedad relativa;Noroeste;Casa de Campo;74
2024-03-27;Humedad relativa;Noroeste;Casa de Campo;91
2024-03-28;Humedad relativa;Noroeste;Casa de Campo;82
2024-03-29;Humedad relativa;Noroeste;Casa de Campo;95
2024-03-30;Humedad relativa;Noroeste;Casa de Campo;91
2024-03-31;Humedad relativa;Noroeste;Casa de Campo;88
