Fecha;Magnitud;Zona;Estación;Valor
2024-05-01;Humedad relativa;Noroeste;Casa de Campo;64
2024-05-02;Humedad relativa;Noroeste;Casa de Campo;60
2024-05-03;Humedad relativa;Noroeste;Casa de Campo;60
2024-05-04;Humedad relativa;Noroeste;Casa de Campo;58
2024-05-05;Humedad relativa;Noroeste;Casa de Campo;75
2024-05-06;Humedad relativa;Noroeste;Casa de Campo;71
2024-05-07;Humedad relativa;Noroeste;Casa de Campo;53
2024-05-08;Humedad relativa;Noroeste;Casa de Campo;42
2024-05-09;Humedad relativa;Noroeste;Casa de Campo;45
2024-05-10;Humedad relativa;Noroeste;Casa de Campo;42
2024-05-11;Humedad relativa;Noroeste;Casa de Campo;38
2024-05-12;Humedad relativa;Noroeste;Casa de Campo;48
2024-05-13;Humedad relativa;Noroeste;Casa de Campo;50
2024-05-14;Humedad relativa;Noroeste;Casa de Campo;52
2024-05-15;Humedad relativa;Noroeste;Casa de Campo;47
2024-05-16;Humedad relativa;Noroeste;Casa de Campo;53
2024-05-17;Humedad relativa;Noroeste;Casa de Campo;63
2024-05-18;Humedad relativa;Noroeste;Casa de Campo;50
2024-05-19;Humedad relativa;Noroeste;Casa de Campo;54
2024-05-20;Humedad relativa;Noroeste;Casa de Campo;59
2024-05-21;Humedad relativa;Noroeste;Casa de Campo;62
2024-05-22;Humedad relativa;Noroeste;Casa de Campo;52
2024-05-23;Humedad relativa;Noroeste;Casa de Campo;42
2024-05-24;Humedad relativa;Noroeste;Casa de Campo;43
2024-05-25;Humedad relativa;Noroeste;Casa de Campo;38
2024-05-26;Humedad relativa;Noroeste;Casa de Campo;38
2024-05-27;Humedad relativa;Noroeste;Casa de Campo;41
2024-05-28;Humedad relativa;Noroeste;Casa de Campo;44
2024-05-29;Humedad relativa;Noroeste;Casa de Campo;36
2024-05-30;Humedad relativa;Noroeste;Casa de Campo;37
2024-05-31;Humedad relativa;Noroeste;Casa de Campo;32
