Fecha;Magnitud;Zona;Estación;Valor
2024-11-01;Humedad relativa;Noroeste;Casa de Campo;82
2024-11-02;Humedad relativa;Noroeste;Casa de Campo;80
2024-11-03;Humedad relativa;Noroeste;Casa de Campo;79
2024-11-04;Humedad relativa;Noroeste;Casa de Campo;80
2024-11-05;Humedad relativa;Noroeste;Casa de Campo;82
2024-11-06;Humedad relativa;Noroeste;Casa de Campo;78
2024-11-07;Humedad relativa;Noroeste;Casa de Campo;80
2024-11-08;Humedad relativa;Noroeste;Casa de Campo;89
2024-11-09;Humedad relativa;Noroeste;Casa de Campo;80
2024-11-10;Humedad relativa;Noroeste;Casa de Campo;81
2024-11-11;Humedad relativa;Noroeste;Casa de Campo;72
2024-11-12;Humedad relativa;Noroeste;Casa de Campo;61
2024-11-13;Humedad relativa;Noroeste;Casa de Campo;74
2024-11-14;Humedad relativa;Noroeste;Casa de Campo;76
2024-11-15;Humedad relativa;Noroeste;Casa de Campo;75
2024-11-16;Humedad relativa;Noroeste;Casa de Campo;79
2024-11-17;Humedad relativa;Noroeste;Casa de Campo;78
2024-11-18;Humedad relativa;Noroeste;Casa de Campo;79
2024-11-19;Humedad relativa;Noroeste;Casa de Campo;90
2024-11-20;Humedad relativa;Noroeste;Casa de Campo;73
2024-11-21;Humedad relativa;Noroeste;Casa de Campo;86
2024-11-22;Humedad relativa;Noroeste;Casa de Campo;77
2024-11-23;Humedad relativa;Noroeste;Casa de Campo;87
2024-11-24;Humedad relativa;Noroeste;Casa de Campo;83
2024-11-25;Humedad relativa;Noroeste;Casa de Campo;72
2024-11-26;Humedad relativa;Noroeste;Casa de Campo;84
2024-11-27;Humedad relativa;Noroeste;Casa de Campo;77
2024-11-28;Humedad relativa;Noroeste;Casa de Campo;80
2024-11-29;Humedad relativa;Noroeste;Casa de Campo;82
2024-11-30;Humedad relativa;Noroeste;Casa de Campo;84
