Fecha;Magnitud;Zona;Estación;Valor
2024-10-01;Humedad relativa;Noroeste;Casa de Campo;46
2024-10-02;Humedad relativa;Noroeste;Casa de Campo;67
2024-10-03;Humedad relativa;Noroeste;Casa de Campo;56
2024-10-04;Humedad relativa;Noroeste;Casa de Campo;53
2024-10-05;Humedad relativa;Noroeste;Casa de Campo;64
2024-10-06;Humedad relativa;Noroeste;Casa de Campo;70
2024-10-07;Humedad relativa;Noroeste;Casa de Campo;77
2024-10-08;Humedad relativa;Noroeste;Casa de Campo;90
2024-10-09;Humedad relativa;Noroeste;Casa de Campo;84
2024-10-10;Humedad relativa;Noroeste;Casa de Campo;59
2024-10-11;Humedad relativa;Noroeste;Casa de Campo;70
2024-10-12;Humedad relativa;Noroeste;Casa de Campo;94
2024-10-13;Humedad relativa;Noroeste;Casa de Campo;77
2024-10-14;Humedad relativa;Noroeste;Casa de Campo;79
2024-10-15;Humedad relativa;Noroeste;Casa de Campo;84
2024-10-16;Humedad relativa;Noroeste;Casa de Campo;85
2024-10-17;Humedad relativa;Noroeste;Casa de Campo;77
2024-10-18;Humedad relativa;Noroeste;Casa de Campo;60
2024-10-19;Humedad relativa;Noroeste;Casa de Campo;70
2024-10-20;Humedad relativa;Noroeste;Casa de Campo;76
2024-10-21;Humedad relativa;Noroeste;Casa de Campo;73
2024-10-22;Humedad relativa;Noroeste;Casa de Campo;71
2024-10-23;Humedad relativa;Noroeste;Casa de Campo;73
2024-10-24;Humedad relativa;Noroeste;Casa de Campo;75
2024-10-25;Humedad relativa;Noroeste;Casa de Campo;79
2024-10-26;Humedad relativa;Noroeste;Casa de Campo;70
2024-10-27;Humedad relativa;Noroeste;Casa de Campo;76
2024-10-28;Humedad relativa;Noroeste;Casa de Campo;76
2024-10-29;Humedad relativa;Noroeste;Casa de Campo;84
2024-10-30;Humedad relativa;Noroeste;Casa de Campo;68
2024-10-31;Humedad relativa;Noroeste;Casa de Campo;68
