Fecha;Magnitud;Zona;Estación;Valor
2024-09-01;Humedad relativa;Noroeste;Casa de Campo;60
2024-09-02;Humedad relativa;Noroeste;Casa de Campo;54
2024-09-03;Humedad relativa;Noroeste;Casa de Campo;56
2024-09-04;Humedad relativa;Noroeste;Casa de Campo;56
2024-09-05;Humedad relativa;Noroeste;Casa de Campo;50
2024-09-06;Humedad relativa;Noroeste;Casa de Campo;40
2024-09-07;Humedad relativa;Noroeste;Casa de Campo;37
2024-09-08;Humedad relativa;Noroeste;Casa de Campo;40
2024-09-09;Humedad relativa;Noroeste;Casa de Campo;39
2024-09-10;Humedad relativa;Noroeste;Casa de Campo;42
2024-09-11;Humedad relativa;Noroeste;Casa de Campo;36
2024-09-12;Humedad relativa;Noroeste;Casa de Campo;41
2024-09-13;Humedad relativa;Noroeste;Casa de Campo;45
2024-09-14;Humedad relativa;Noroeste;Casa de Campo;41
2024-09-15;Humedad relativa;Noroeste;Casa de Campo;35
2024-09-16;Humedad relativa;Noroeste;Casa de Campo;22
2024-09-17;Humedad relativa;Noroeste;Casa de Campo;33
2024-09-18;Humedad relativa;Noroeste;Casa de Campo;49
2024-09-19;Humedad relativa;Noroeste;Casa de Campo;74
2024-09-20;Humedad relativa;Noroeste;Casa de Campo;79
2024-09-21;Humedad relativa;Noroeste;Casa de Campo;73
2024-09-22;Humedad relativa;Noroeste;Casa de Campo;61
2024-09-23;Humedad relativa;Noroeste;Casa de Campo;53
2024-09-24;Humedad relativa;Noroeste;Casa de Campo;46
2024-09-25;Humedad relativa;Noroeste;Casa de Campo;75
2024-09-26;Humedad relativa;Noroeste;Casa de Campo;79
2024-09-27;Humedad relativa;Noroeste;Casa de Campo;57
2024-09-28;Humedad relativa;Noroeste;Casa de Campo;43
2024-09-29;Humedad relativa;Noroeste;Casa de Campo;44
2024-09-30;Humedad relativa;Noroeste;Casa de Campo;40
