SABORES,total_mayo_kg,total_junio_kg,total_julio_kg,total_agosto_kg,total_noviembre_kg,total_diciembre_kg,Precio_kg
chocolate,210.18,240.2,215.2,140.0,67.48,73.5,17.0
fresa,106.52,86.13,71.15,62.5,42.0,48.0,17.0
vainilla,105.25,93.2,84.25,53.2,32.5,35.8,17.0
turron,120.23,80.52,72.14,41.1,30.2,50.4,17.0
yogurt griego,50.47,40.3,20.4,15.4,20.6,15.6,17.0
yogurt maracuya,20.89,21.89,12.06,,,,17.0
choco orange,27.21,17.21,12.04,,18.4,15.4,17.0
stracciatella,100.5,95.6,93.85,81.0,30.5,31.4,17.0
porto bello,90.81,91.3,79.56,56.0,17.9,16.2,17.0
tarta de queso,24.25,14.3,16.83,10.6,12.6,11.9,17.0
after eight,80.24,85.6,86.2,63.2,27.2,17.54,17.0
dulce de leche,60.32,59.25,44.48,27.3,15.23,17.6,17.0
coco,68.28,50.35,55.42,31.8,,,17.0
turron stevia,10.34,10.2,,,,25.2,17.0
avellana stevia,15.29,19.3,,,,7.2,17.0
vainilla stevia,12.57,20.58,,,5.4,14.6,17.0
fresa stevia,8.75,16.54,,,,14.9,17.0
maracuya stevia,5.32,5.4,,,,,17.0
mango stevia,12.52,15.6,20.5,,,,17.0
manzana verde,65.01,10.01,57.02,42.6,5.4,10.6,17.0
limon,87.2,89.01,80.6,52.0,5.1,25.6,17.0
frutos del bosque,42.2,15.3,30.8,14.8,,15.4,17.0
fondane,80.19,82.2,60.52,41.0,7.0,24.6,17.0
mango ,60.41,65.6,72.63,58.0,,,17.0
sandia,65.32,56.0,58.82,46.9,,,17.0
melon,8.25,10.6,15.2,5.2,,,17.0
piña colada,10.52,12.5,15.3,,,,17.0
ferrero,60.81,64.8,50.84,,6.1,23.8,17.0
oreo,120.77,123.52,110.6,56.1,7.0,21.0,17.0
kinder bueno,130.48,142.8,125.71,59.4,6.4,22.3,17.0
merengada,54.28,60.1,20.3,14.5,4.8,15.9,17.0
café,20.89,19.56,15.6,,,16.0,17.0
triple pistacho,150.5,264.88,248.3,215.9,60.2,78.2,17.0
avellana,8.0,15.2,5.6,5.7,,,17.0
brownie,32.44,35.0,,,6.2,15.0,17.0
banana split,10.17,14.2,12.3,15.2,,,17.0
arroz con leche,4.9,,,,,,17.0
torrijas,5.63,,,,,,17.0
filipinos,32.23,32.89,15.2,,,,17.0
milhojas,6.58,5.39,18.5,,,,17.0
malaga,11.36,19.5,,5.2,,15.3,17.0
galletas lotus,22.38,40.26,22.4,15.2,16.1,12.6,17.0
raffaello,10.5,15.2,9.5,,,,17.0
yema tostada,8.35,12.8,,,14.8,23.2,17.0
castañas,5.03,,,,,,17.0
pasion griega,10.48,12.2,13.4,,,,17.0
tres chocolates,80.5,75.24,,15.6,10.4,,17.0
dolce ragazza,5.77,10.74,15.4,,,,17.0
lemon cake,6.8,12.4,12.3,5.8,,,17.0
crema de la abuela,5.81,21.02,,4.8,,,17.0
mil y una noche,6.58,12.5,,,,14.5,17.0
baccio bianco,22.55,25.95,24.2,12.8,,,17.0
pera,12.16,,4.5,,,,17.0
pistacho vegano,20.45,,12.5,,,,17.0
uva,16.23,6.16,,,,,17.0
mandarina,6.51,5.2,8.5,6.2,,,17.0
melojas,10.2,,,,,,17.0
jungly,22.0,25.24,,,14.8,,17.0
nata,,5.21,,,,,17.0
ron dominicano,5.62,,,,,7.2,17.0
,,,,,,,
,2476.0000000000005,2482.649999999998,2020.62,1275.0,484.31,736.44,
