Fecha;Magnitud;Zona;Estación;Valor
2024-04-01;Precipitación;Noroeste;Casa de Campo;0,02
2024-04-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-03;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-07;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-08;Precipitación;Noroeste;Casa de Campo;0,01
2024-04-09;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-10;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-13;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-14;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-15;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-16;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-17;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-25;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-26;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-27;Precipitación;Noroeste;Casa de Campo;0,19
2024-04-28;Precipitación;Noroeste;Casa de Campo;0,00
2024-04-29;Precipitación;Noroeste;Casa de Campo;0,09
2024-04-30;Precipitación;Noroeste;Casa de Campo;0,00
