Fecha;Magnitud;Zona;Estación;Valor
2024-01-01;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-03;Precipitación;Noroeste;Casa de Campo;0,06
2024-01-04;Precipitación;Noroeste;Casa de Campo;0,10
2024-01-05;Precipitación;Noroeste;Casa de Campo;0,04
2024-01-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-07;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-08;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-09;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-10;Precipitación;Noroeste;Casa de Campo;0,01
2024-01-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-13;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-14;Precipitación;Noroeste;Casa de Campo;0,05
2024-01-15;Precipitación;Noroeste;Casa de Campo;0,08
2024-01-16;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-17;Precipitación;Noroeste;Casa de Campo;0,19
2024-01-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-19;Precipitación;Noroeste;Casa de Campo;0,54
2024-01-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-25;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-26;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-27;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-28;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-29;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-30;Precipitación;Noroeste;Casa de Campo;0,00
2024-01-31;Precipitación;Noroeste;Casa de Campo;0,00
