Fecha;Magnitud;Zona;Estación;Valor
2024-06-01;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-03;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-06;Precipitación;Noroeste;Casa de Campo;0,05
2024-06-07;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-08;Precipitación;Noroeste;Casa de Campo;0,09
2024-06-09;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-10;Precipitación;Noroeste;Casa de Campo;0,29
2024-06-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-13;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-14;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-15;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-16;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-17;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-18;Precipitación;Noroeste;Casa de Campo;0,02
2024-06-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-20;Precipitación;Noroeste;Casa de Campo;0,08
2024-06-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-25;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-26;Precipitación;Noroeste;Casa de Campo;0,01
2024-06-27;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-28;Precipitación;Noroeste;Casa de Campo;0,00
2024-06-29;Precipitación;Noroeste;Casa de Campo;0,02
2024-06-30;Precipitación;Noroeste;Casa de Campo;0,00
