Fecha;Magnitud;Zona;Estación;Valor
2024-03-01;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-02;Precipitación;Noroeste;Casa de Campo;0,15
2024-03-03;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-07;Precipitación;Noroeste;Casa de Campo;0,11
2024-03-08;Precipitación;Noroeste;Casa de Campo;0,15
2024-03-09;Precipitación;Noroeste;Casa de Campo;0,12
2024-03-10;Precipitación;Noroeste;Casa de Campo;0,05
2024-03-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-13;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-14;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-15;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-16;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-17;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-03-25;Precipitación;Noroeste;Casa de Campo;0,01
2024-03-26;Precipitación;Noroeste;Casa de Campo;0,05
2024-03-27;Precipitación;Noroeste;Casa de Campo;0,04
2024-03-28;Precipitación;Noroeste;Casa de Campo;0,24
2024-03-29;Precipitación;Noroeste;Casa de Campo;0,15
2024-03-30;Precipitación;Noroeste;Casa de Campo;0,15
2024-03-31;Precipitación;Noroeste;Casa de Campo;0,21
