Fecha;Magnitud;Zona;Estación;Valor
2024-11-01;Precipitación;Noroeste;Casa de Campo;0,20
2024-11-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-03;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-07;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-08;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-09;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-10;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-11;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-12;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-13;Precipitación;Noroeste;Casa de Campo;0,08
2024-11-14;Precipitación;Noroeste;Casa de Campo;0,04
2024-11-15;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-16;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-17;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-23;Precipitación;Noroeste;Casa de Campo;0,01
2024-11-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-25;Precipitación;Noroeste;Casa de Campo;0,10
2024-11-26;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-27;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-28;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-29;Precipitación;Noroeste;Casa de Campo;0,00
2024-11-30;Precipitación;Noroeste;Casa de Campo;0,00
