Fecha;Magnitud;Zona;Estación;Valor
2024-10-01;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-02;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-03;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-04;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-05;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-06;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-07;Precipitación;Noroeste;Casa de Campo;0,12
2024-10-08;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-09;Precipitación;Noroeste;Casa de Campo;0,14
2024-10-10;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-11;Precipitación;Noroeste;Casa de Campo;0,01
2024-10-12;Precipitación;Noroeste;Casa de Campo;0,33
2024-10-13;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-14;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-15;Precipitación;Noroeste;Casa de Campo;0,05
2024-10-16;Precipitación;Noroeste;Casa de Campo;0,66
2024-10-17;Precipitación;Noroeste;Casa de Campo;0,17
2024-10-18;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-19;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-20;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-21;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-22;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-23;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-24;Precipitación;Noroeste;Casa de Campo;0,00
2024-10-25;Precipitación;Noroeste;Casa de Campo;0,03
2024-10-26;Precipitación;Noroeste;Casa de Campo;0,01
2024-10-27;Precipitación;Noroeste;Casa de Campo;0,03
2024-10-28;Precipitación;Noroeste;Casa de Campo;0,02
2024-10-29;Precipitación;Noroeste;Casa de Campo;0,32
2024-10-30;Precipitación;Noroeste;Casa de Campo;0,19
2024-10-31;Precipitación;Noroeste;Casa de Campo;0,00
