Fecha;Magnitud;Zona;Estación;Valor
2024-04-01;Radiación solar;Noroeste;Casa de Campo;249
2024-04-02;Radiación solar;Noroeste;Casa de Campo;128
2024-04-03;Radiación solar;Noroeste;Casa de Campo;236
2024-04-04;Radiación solar;Noroeste;Casa de Campo;242
2024-04-05;Radiación solar;Noroeste;Casa de Campo;223
2024-04-06;Radiación solar;Noroeste;Casa de Campo;133
2024-04-07;Radiación solar;Noroeste;Casa de Campo;216
2024-04-08;Radiación solar;Noroeste;Casa de Campo;225
2024-04-09;Radiación solar;Noroeste;Casa de Campo;289
2024-04-10;Radiación solar;Noroeste;Casa de Campo;282
2024-04-11;Radiación solar;Noroeste;Casa de Campo;286
2024-04-12;Radiación solar;Noroeste;Casa de Campo;289
2024-04-13;Radiación solar;Noroeste;Casa de Campo;294
2024-04-14;Radiación solar;Noroeste;Casa de Campo;291
2024-04-15;Radiación solar;Noroeste;Casa de Campo;283
2024-04-16;Radiación solar;Noroeste;Casa de Campo;296
2024-04-17;Radiación solar;Noroeste;Casa de Campo;302
2024-04-18;Radiación solar;Noroeste;Casa de Campo;309
2024-04-19;Radiación solar;Noroeste;Casa de Campo;295
2024-04-20;Radiación solar;Noroeste;Casa de Campo;287
2024-04-21;Radiación solar;Noroeste;Casa de Campo;309
2024-04-22;Radiación solar;Noroeste;Casa de Campo;315
2024-04-23;Radiación solar;Noroeste;Casa de Campo;296
2024-04-24;Radiación solar;Noroeste;Casa de Campo;307
2024-04-25;Radiación solar;Noroeste;Casa de Campo;189
2024-04-26;Radiación solar;Noroeste;Casa de Campo;220
2024-04-27;Radiación solar;Noroeste;Casa de Campo;233
2024-04-28;Radiación solar;Noroeste;Casa de Campo;292
2024-04-29;Radiación solar;Noroeste;Casa de Campo;238
2024-04-30;Radiación solar;Noroeste;Casa de Campo;231
