Fecha;Magnitud;Zona;Estación;Valor
2024-08-01;Radiación solar;Noroeste;Casa de Campo;338
2024-08-02;Radiación solar;Noroeste;Casa de Campo;264
2024-08-03;Radiación solar;Noroeste;Casa de Campo;325
2024-08-04;Radiación solar;Noroeste;Casa de Campo;319
2024-08-05;Radiación solar;Noroeste;Casa de Campo;320
2024-08-06;Radiación solar;Noroeste;Casa de Campo;318
2024-08-07;Radiación solar;Noroeste;Casa de Campo;318
2024-08-08;Radiación solar;Noroeste;Casa de Campo;313
2024-08-09;Radiación solar;Noroeste;Casa de Campo;309
2024-08-10;Radiación solar;Noroeste;Casa de Campo;314
2024-08-11;Radiación solar;Noroeste;Casa de Campo;309
2024-08-12;Radiación solar;Noroeste;Casa de Campo;308
2024-08-13;Radiación solar;Noroeste;Casa de Campo;220
2024-08-14;Radiación solar;Noroeste;Casa de Campo;364
2024-08-15;Radiación solar;Noroeste;Casa de Campo;323
2024-08-16;Radiación solar;Noroeste;Casa de Campo;314
2024-08-17;Radiación solar;Noroeste;Casa de Campo;281
2024-08-18;Radiación solar;Noroeste;Casa de Campo;303
2024-08-19;Radiación solar;Noroeste;Casa de Campo;298
2024-08-20;Radiación solar;Noroeste;Casa de Campo;289
2024-08-21;Radiación solar;Noroeste;Casa de Campo;289
2024-08-22;Radiación solar;Noroeste;Casa de Campo;277
2024-08-23;Radiación solar;Noroeste;Casa de Campo;286
2024-08-24;Radiación solar;Noroeste;Casa de Campo;286
2024-08-25;Radiación solar;Noroeste;Casa de Campo;279
2024-08-26;Radiación solar;Noroeste;Casa de Campo;255
2024-08-27;Radiación solar;Noroeste;Casa de Campo;285
2024-08-28;Radiación solar;Noroeste;Casa de Campo;269
2024-08-29;Radiación solar;Noroeste;Casa de Campo;165
2024-08-30;Radiación solar;Noroeste;Casa de Campo;224
2024-08-31;Radiación solar;Noroeste;Casa de Campo;193
