Fecha;Magnitud;Zona;Estación;Valor
2024-12-01;Radiación solar;Noroeste;Casa de Campo;75
2024-12-02;Radiación solar;Noroeste;Casa de Campo;52
2024-12-03;Radiación solar;Noroeste;Casa de Campo;88
2024-12-04;Radiación solar;Noroeste;Casa de Campo;102
2024-12-05;Radiación solar;Noroeste;Casa de Campo;82
2024-12-06;Radiación solar;Noroeste;Casa de Campo;88
2024-12-07;Radiación solar;Noroeste;Casa de Campo;104
2024-12-08;Radiación solar;Noroeste;Casa de Campo;91
2024-12-09;Radiación solar;Noroeste;Casa de Campo;99
2024-12-10;Radiación solar;Noroeste;Casa de Campo;94
2024-12-11;Radiación solar;Noroeste;Casa de Campo;39
2024-12-12;Radiación solar;Noroeste;Casa de Campo;66
2024-12-13;Radiación solar;Noroeste;Casa de Campo;46
2024-12-14;Radiación solar;Noroeste;Casa de Campo;1
2024-12-15;Radiación solar;Noroeste;Casa de Campo;
2024-12-16;Radiación solar;Noroeste;Casa de Campo;
2024-12-17;Radiación solar;Noroeste;Casa de Campo;45
2024-12-18;Radiación solar;Noroeste;Casa de Campo;79
2024-12-19;Radiación solar;Noroeste;Casa de Campo;64
2024-12-20;Radiación solar;Noroeste;Casa de Campo;98
2024-12-21;Radiación solar;Noroeste;Casa de Campo;99
2024-12-22;Radiación solar;Noroeste;Casa de Campo;93
2024-12-23;Radiación solar;Noroeste;Casa de Campo;97
2024-12-24;Radiación solar;Noroeste;Casa de Campo;94
2024-12-25;Radiación solar;Noroeste;Casa de Campo;96
2024-12-26;Radiación solar;Noroeste;Casa de Campo;94
2024-12-27;Radiación solar;Noroeste;Casa de Campo;69
2024-12-28;Radiación solar;Noroeste;Casa de Campo;98
2024-12-29;Radiación solar;Noroeste;Casa de Campo;100
2024-12-30;Radiación solar;Noroeste;Casa de Campo;100
2024-12-31;Radiación solar;Noroeste;Casa de Campo;98
