Fecha;Magnitud;Zona;Estación;Valor
2024-01-01;Radiación solar;Noroeste;Casa de Campo;80
2024-01-02;Radiación solar;Noroeste;Casa de Campo;24
2024-01-03;Radiación solar;Noroeste;Casa de Campo;33
2024-01-04;Radiación solar;Noroeste;Casa de Campo;25
2024-01-05;Radiación solar;Noroeste;Casa de Campo;104
2024-01-06;Radiación solar;Noroeste;Casa de Campo;110
2024-01-07;Radiación solar;Noroeste;Casa de Campo;102
2024-01-08;Radiación solar;Noroeste;Casa de Campo;91
2024-01-09;Radiación solar;Noroeste;Casa de Campo;43
2024-01-10;Radiación solar;Noroeste;Casa de Campo;41
2024-01-11;Radiación solar;Noroeste;Casa de Campo;105
2024-01-12;Radiación solar;Noroeste;Casa de Campo;96
2024-01-13;Radiación solar;Noroeste;Casa de Campo;54
2024-01-14;Radiación solar;Noroeste;Casa de Campo;21
2024-01-15;Radiación solar;Noroeste;Casa de Campo;42
2024-01-16;Radiación solar;Noroeste;Casa de Campo;34
2024-01-17;Radiación solar;Noroeste;Casa de Campo;66
2024-01-18;Radiación solar;Noroeste;Casa de Campo;104
2024-01-19;Radiación solar;Noroeste;Casa de Campo;16
2024-01-20;Radiación solar;Noroeste;Casa de Campo;114
2024-01-21;Radiación solar;Noroeste;Casa de Campo;112
2024-01-22;Radiación solar;Noroeste;Casa de Campo;69
2024-01-23;Radiación solar;Noroeste;Casa de Campo;113
2024-01-24;Radiación solar;Noroeste;Casa de Campo;119
2024-01-25;Radiación solar;Noroeste;Casa de Campo;123
2024-01-26;Radiación solar;Noroeste;Casa de Campo;113
2024-01-27;Radiación solar;Noroeste;Casa de Campo;112
2024-01-28;Radiación solar;Noroeste;Casa de Campo;119
2024-01-29;Radiación solar;Noroeste;Casa de Campo;104
2024-01-30;Radiación solar;Noroeste;Casa de Campo;121
2024-01-31;Radiación solar;Noroeste;Casa de Campo;96
