Fecha;Magnitud;Zona;Estación;Valor
2024-02-01;Radiación solar;Noroeste;Casa de Campo;127
2024-02-02;Radiación solar;Noroeste;Casa de Campo;132
2024-02-03;Radiación solar;Noroeste;Casa de Campo;135
2024-02-04;Radiación solar;Noroeste;Casa de Campo;138
2024-02-05;Radiación solar;Noroeste;Casa de Campo;116
2024-02-06;Radiación solar;Noroeste;Casa de Campo;105
2024-02-07;Radiación solar;Noroeste;Casa de Campo;64
2024-02-08;Radiación solar;Noroeste;Casa de Campo;32
2024-02-09;Radiación solar;Noroeste;Casa de Campo;41
2024-02-10;Radiación solar;Noroeste;Casa de Campo;116
2024-02-11;Radiación solar;Noroeste;Casa de Campo;71
2024-02-12;Radiación solar;Noroeste;Casa de Campo;150
2024-02-13;Radiación solar;Noroeste;Casa de Campo;68
2024-02-14;Radiación solar;Noroeste;Casa de Campo;90
2024-02-15;Radiación solar;Noroeste;Casa de Campo;40
2024-02-16;Radiación solar;Noroeste;Casa de Campo;145
2024-02-17;Radiación solar;Noroeste;Casa de Campo;168
2024-02-18;Radiación solar;Noroeste;Casa de Campo;158
2024-02-19;Radiación solar;Noroeste;Casa de Campo;165
2024-02-20;Radiación solar;Noroeste;Casa de Campo;175
2024-02-21;Radiación solar;Noroeste;Casa de Campo;103
2024-02-22;Radiación solar;Noroeste;Casa de Campo;107
2024-02-23;Radiación solar;Noroeste;Casa de Campo;118
2024-02-24;Radiación solar;Noroeste;Casa de Campo;123
2024-02-25;Radiación solar;Noroeste;Casa de Campo;98
2024-02-26;Radiación solar;Noroeste;Casa de Campo;134
2024-02-27;Radiación solar;Noroeste;Casa de Campo;169
2024-02-28;Radiación solar;Noroeste;Casa de Campo;194
2024-02-29;Radiación solar;Noroeste;Casa de Campo;184
