Fecha;Magnitud;Zona;Estación;Valor
2024-07-01;Radiación solar;Noroeste;Casa de Campo;292
2024-07-02;Radiación solar;Noroeste;Casa de Campo;361
2024-07-03;Radiación solar;Noroeste;Casa de Campo;361
2024-07-04;Radiación solar;Noroeste;Casa de Campo;357
2024-07-05;Radiación solar;Noroeste;Casa de Campo;342
2024-07-06;Radiación solar;Noroeste;Casa de Campo;344
2024-07-07;Radiación solar;Noroeste;Casa de Campo;365
2024-07-08;Radiación solar;Noroeste;Casa de Campo;359
2024-07-09;Radiación solar;Noroeste;Casa de Campo;350
2024-07-10;Radiación solar;Noroeste;Casa de Campo;340
2024-07-11;Radiación solar;Noroeste;Casa de Campo;355
2024-07-12;Radiación solar;Noroeste;Casa de Campo;359
2024-07-13;Radiación solar;Noroeste;Casa de Campo;354
2024-07-14;Radiación solar;Noroeste;Casa de Campo;363
2024-07-15;Radiación solar;Noroeste;Casa de Campo;352
2024-07-16;Radiación solar;Noroeste;Casa de Campo;358
2024-07-17;Radiación solar;Noroeste;Casa de Campo;341
2024-07-18;Radiación solar;Noroeste;Casa de Campo;248
2024-07-19;Radiación solar;Noroeste;Casa de Campo;340
2024-07-20;Radiación solar;Noroeste;Casa de Campo;338
2024-07-21;Radiación solar;Noroeste;Casa de Campo;351
2024-07-22;Radiación solar;Noroeste;Casa de Campo;357
2024-07-23;Radiación solar;Noroeste;Casa de Campo;341
2024-07-24;Radiación solar;Noroeste;Casa de Campo;329
2024-07-25;Radiación solar;Noroeste;Casa de Campo;332
2024-07-26;Radiación solar;Noroeste;Casa de Campo;298
2024-07-27;Radiación solar;Noroeste;Casa de Campo;318
2024-07-28;Radiación solar;Noroeste;Casa de Campo;317
2024-07-29;Radiación solar;Noroeste;Casa de Campo;213
2024-07-30;Radiación solar;Noroeste;Casa de Campo;311
2024-07-31;Radiación solar;Noroeste;Casa de Campo;336
