Fecha;Magnitud;Zona;Estación;Valor
2024-06-01;Radiación solar;Noroeste;Casa de Campo;347
2024-06-02;Radiación solar;Noroeste;Casa de Campo;361
2024-06-03;Radiación solar;Noroeste;Casa de Campo;312
2024-06-04;Radiación solar;Noroeste;Casa de Campo;333
2024-06-05;Radiación solar;Noroeste;Casa de Campo;337
2024-06-06;Radiación solar;Noroeste;Casa de Campo;309
2024-06-07;Radiación solar;Noroeste;Casa de Campo;240
2024-06-08;Radiación solar;Noroeste;Casa de Campo;86
2024-06-09;Radiación solar;Noroeste;Casa de Campo;340
2024-06-10;Radiación solar;Noroeste;Casa de Campo;137
2024-06-11;Radiación solar;Noroeste;Casa de Campo;352
2024-06-12;Radiación solar;Noroeste;Casa de Campo;312
2024-06-13;Radiación solar;Noroeste;Casa de Campo;363
2024-06-14;Radiación solar;Noroeste;Casa de Campo;373
2024-06-15;Radiación solar;Noroeste;Casa de Campo;372
2024-06-16;Radiación solar;Noroeste;Casa de Campo;369
2024-06-17;Radiación solar;Noroeste;Casa de Campo;370
2024-06-18;Radiación solar;Noroeste;Casa de Campo;172
2024-06-19;Radiación solar;Noroeste;Casa de Campo;287
2024-06-20;Radiación solar;Noroeste;Casa de Campo;210
2024-06-21;Radiación solar;Noroeste;Casa de Campo;351
2024-06-22;Radiación solar;Noroeste;Casa de Campo;417
2024-06-23;Radiación solar;Noroeste;Casa de Campo;340
2024-06-24;Radiación solar;Noroeste;Casa de Campo;355
2024-06-25;Radiación solar;Noroeste;Casa de Campo;340
2024-06-26;Radiación solar;Noroeste;Casa de Campo;205
2024-06-27;Radiación solar;Noroeste;Casa de Campo;228
2024-06-28;Radiación solar;Noroeste;Casa de Campo;222
2024-06-29;Radiación solar;Noroeste;Casa de Campo;222
2024-06-30;Radiación solar;Noroeste;Casa de Campo;235
