Fecha;Magnitud;Zona;Estación;Valor
2024-03-01;Radiación solar;Noroeste;Casa de Campo;171
2024-03-02;Radiación solar;Noroeste;Casa de Campo;40
2024-03-03;Radiación solar;Noroeste;Casa de Campo;141
2024-03-04;Radiación solar;Noroeste;Casa de Campo;131
2024-03-05;Radiación solar;Noroeste;Casa de Campo;192
2024-03-06;Radiación solar;Noroeste;Casa de Campo;194
2024-03-07;Radiación solar;Noroeste;Casa de Campo;84
2024-03-08;Radiación solar;Noroeste;Casa de Campo;133
2024-03-09;Radiación solar;Noroeste;Casa de Campo;115
2024-03-10;Radiación solar;Noroeste;Casa de Campo;152
2024-03-11;Radiación solar;Noroeste;Casa de Campo;216
2024-03-12;Radiación solar;Noroeste;Casa de Campo;221
2024-03-13;Radiación solar;Noroeste;Casa de Campo;214
2024-03-14;Radiación solar;Noroeste;Casa de Campo;185
2024-03-15;Radiación solar;Noroeste;Casa de Campo;184
2024-03-16;Radiación solar;Noroeste;Casa de Campo;186
2024-03-17;Radiación solar;Noroeste;Casa de Campo;182
2024-03-18;Radiación solar;Noroeste;Casa de Campo;170
2024-03-19;Radiación solar;Noroeste;Casa de Campo;196
2024-03-20;Radiación solar;Noroeste;Casa de Campo;178
2024-03-21;Radiación solar;Noroeste;Casa de Campo;211
2024-03-22;Radiación solar;Noroeste;Casa de Campo;192
2024-03-23;Radiación solar;Noroeste;Casa de Campo;207
2024-03-24;Radiación solar;Noroeste;Casa de Campo;171
2024-03-25;Radiación solar;Noroeste;Casa de Campo;53
2024-03-26;Radiación solar;Noroeste;Casa de Campo;166
2024-03-27;Radiación solar;Noroeste;Casa de Campo;90
2024-03-28;Radiación solar;Noroeste;Casa de Campo;189
2024-03-29;Radiación solar;Noroeste;Casa de Campo;80
2024-03-30;Radiación solar;Noroeste;Casa de Campo;136
2024-03-31;Radiación solar;Noroeste;Casa de Campo;144
