Fecha;Magnitud;Zona;Estación;Valor
2024-05-01;Radiación solar;Noroeste;Casa de Campo;271
2024-05-02;Radiación solar;Noroeste;Casa de Campo;282
2024-05-03;Radiación solar;Noroeste;Casa de Campo;330
2024-05-04;Radiación solar;Noroeste;Casa de Campo;324
2024-05-05;Radiación solar;Noroeste;Casa de Campo;207
2024-05-06;Radiación solar;Noroeste;Casa de Campo;260
2024-05-07;Radiación solar;Noroeste;Casa de Campo;331
2024-05-08;Radiación solar;Noroeste;Casa de Campo;327
2024-05-09;Radiación solar;Noroeste;Casa de Campo;304
2024-05-10;Radiación solar;Noroeste;Casa de Campo;334
2024-05-11;Radiación solar;Noroeste;Casa de Campo;340
2024-05-12;Radiación solar;Noroeste;Casa de Campo;285
2024-05-13;Radiación solar;Noroeste;Casa de Campo;301
2024-05-14;Radiación solar;Noroeste;Casa de Campo;272
2024-05-15;Radiación solar;Noroeste;Casa de Campo;249
2024-05-16;Radiación solar;Noroeste;Casa de Campo;280
2024-05-17;Radiación solar;Noroeste;Casa de Campo;247
2024-05-18;Radiación solar;Noroeste;Casa de Campo;310
2024-05-19;Radiación solar;Noroeste;Casa de Campo;297
2024-05-20;Radiación solar;Noroeste;Casa de Campo;210
2024-05-21;Radiación solar;Noroeste;Casa de Campo;160
2024-05-22;Radiación solar;Noroeste;Casa de Campo;315
2024-05-23;Radiación solar;Noroeste;Casa de Campo;358
2024-05-24;Radiación solar;Noroeste;Casa de Campo;355
2024-05-25;Radiación solar;Noroeste;Casa de Campo;341
2024-05-26;Radiación solar;Noroeste;Casa de Campo;329
2024-05-27;Radiación solar;Noroeste;Casa de Campo;344
2024-05-28;Radiación solar;Noroeste;Casa de Campo;347
2024-05-29;Radiación solar;Noroeste;Casa de Campo;347
2024-05-30;Radiación solar;Noroeste;Casa de Campo;333
2024-05-31;Radiación solar;Noroeste;Casa de Campo;357
