Fecha;Magnitud;Zona;Estación;Valor
2024-11-01;Radiación solar;Noroeste;Casa de Campo;107
2024-11-02;Radiación solar;Noroeste;Casa de Campo;92
2024-11-03;Radiación solar;Noroeste;Casa de Campo;106
2024-11-04;Radiación solar;Noroeste;Casa de Campo;89
2024-11-05;Radiación solar;Noroeste;Casa de Campo;107
2024-11-06;Radiación solar;Noroeste;Casa de Campo;103
2024-11-07;Radiación solar;Noroeste;Casa de Campo;116
2024-11-08;Radiación solar;Noroeste;Casa de Campo;49
2024-11-09;Radiación solar;Noroeste;Casa de Campo;95
2024-11-10;Radiación solar;Noroeste;Casa de Campo;76
2024-11-11;Radiación solar;Noroeste;Casa de Campo;118
2024-11-12;Radiación solar;Noroeste;Casa de Campo;110
2024-11-13;Radiación solar;Noroeste;Casa de Campo;28
2024-11-14;Radiación solar;Noroeste;Casa de Campo;63
2024-11-15;Radiación solar;Noroeste;Casa de Campo;44
2024-11-16;Radiación solar;Noroeste;Casa de Campo;66
2024-11-17;Radiación solar;Noroeste;Casa de Campo;108
2024-11-18;Radiación solar;Noroeste;Casa de Campo;110
2024-11-19;Radiación solar;Noroeste;Casa de Campo;92
2024-11-20;Radiación solar;Noroeste;Casa de Campo;114
2024-11-21;Radiación solar;Noroeste;Casa de Campo;102
2024-11-22;Radiación solar;Noroeste;Casa de Campo;89
2024-11-23;Radiación solar;Noroeste;Casa de Campo;51
2024-11-24;Radiación solar;Noroeste;Casa de Campo;74
2024-11-25;Radiación solar;Noroeste;Casa de Campo;48
2024-11-26;Radiación solar;Noroeste;Casa de Campo;72
2024-11-27;Radiación solar;Noroeste;Casa de Campo;105
2024-11-28;Radiación solar;Noroeste;Casa de Campo;105
2024-11-29;Radiación solar;Noroeste;Casa de Campo;89
2024-11-30;Radiación solar;Noroeste;Casa de Campo;94
