Fecha;Magnitud;Zona;Estación;Valor
2024-10-01;Radiación solar;Noroeste;Casa de Campo;169
2024-10-02;Radiación solar;Noroeste;Casa de Campo;114
2024-10-03;Radiación solar;Noroeste;Casa de Campo;198
2024-10-04;Radiación solar;Noroeste;Casa de Campo;170
2024-10-05;Radiación solar;Noroeste;Casa de Campo;192
2024-10-06;Radiación solar;Noroeste;Casa de Campo;116
2024-10-07;Radiación solar;Noroeste;Casa de Campo;63
2024-10-08;Radiación solar;Noroeste;Casa de Campo;83
2024-10-09;Radiación solar;Noroeste;Casa de Campo;49
2024-10-10;Radiación solar;Noroeste;Casa de Campo;176
2024-10-11;Radiación solar;Noroeste;Casa de Campo;121
2024-10-12;Radiación solar;Noroeste;Casa de Campo;35
2024-10-13;Radiación solar;Noroeste;Casa de Campo;104
2024-10-14;Radiación solar;Noroeste;Casa de Campo;89
2024-10-15;Radiación solar;Noroeste;Casa de Campo;81
2024-10-16;Radiación solar;Noroeste;Casa de Campo;124
2024-10-17;Radiación solar;Noroeste;Casa de Campo;141
2024-10-18;Radiación solar;Noroeste;Casa de Campo;175
2024-10-19;Radiación solar;Noroeste;Casa de Campo;154
2024-10-20;Radiación solar;Noroeste;Casa de Campo;152
2024-10-21;Radiación solar;Noroeste;Casa de Campo;164
2024-10-22;Radiación solar;Noroeste;Casa de Campo;138
2024-10-23;Radiación solar;Noroeste;Casa de Campo;86
2024-10-24;Radiación solar;Noroeste;Casa de Campo;81
2024-10-25;Radiación solar;Noroeste;Casa de Campo;81
2024-10-26;Radiación solar;Noroeste;Casa de Campo;123
2024-10-27;Radiación solar;Noroeste;Casa de Campo;136
2024-10-28;Radiación solar;Noroeste;Casa de Campo;122
2024-10-29;Radiación solar;Noroeste;Casa de Campo;33
2024-10-30;Radiación solar;Noroeste;Casa de Campo;122
2024-10-31;Radiación solar;Noroeste;Casa de Campo;136
