Fecha;Magnitud;Zona;Estación;Valor
2024-09-01;Radiación solar;Noroeste;Casa de Campo;249
2024-09-02;Radiación solar;Noroeste;Casa de Campo;266
2024-09-03;Radiación solar;Noroeste;Casa de Campo;255
2024-09-04;Radiación solar;Noroeste;Casa de Campo;219
2024-09-05;Radiación solar;Noroeste;Casa de Campo;218
2024-09-06;Radiación solar;Noroeste;Casa de Campo;241
2024-09-07;Radiación solar;Noroeste;Casa de Campo;266
2024-09-08;Radiación solar;Noroeste;Casa de Campo;261
2024-09-09;Radiación solar;Noroeste;Casa de Campo;266
2024-09-10;Radiación solar;Noroeste;Casa de Campo;261
2024-09-11;Radiación solar;Noroeste;Casa de Campo;246
2024-09-12;Radiación solar;Noroeste;Casa de Campo;249
2024-09-13;Radiación solar;Noroeste;Casa de Campo;265
2024-09-14;Radiación solar;Noroeste;Casa de Campo;249
2024-09-15;Radiación solar;Noroeste;Casa de Campo;256
2024-09-16;Radiación solar;Noroeste;Casa de Campo;255
2024-09-17;Radiación solar;Noroeste;Casa de Campo;248
2024-09-18;Radiación solar;Noroeste;Casa de Campo;224
2024-09-19;Radiación solar;Noroeste;Casa de Campo;125
2024-09-20;Radiación solar;Noroeste;Casa de Campo;135
2024-09-21;Radiación solar;Noroeste;Casa de Campo;159
2024-09-22;Radiación solar;Noroeste;Casa de Campo;198
2024-09-23;Radiación solar;Noroeste;Casa de Campo;204
2024-09-24;Radiación solar;Noroeste;Casa de Campo;137
2024-09-25;Radiación solar;Noroeste;Casa de Campo;118
2024-09-26;Radiación solar;Noroeste;Casa de Campo;192
2024-09-27;Radiación solar;Noroeste;Casa de Campo;219
2024-09-28;Radiación solar;Noroeste;Casa de Campo;231
2024-09-29;Radiación solar;Noroeste;Casa de Campo;221
2024-09-30;Radiación solar;Noroeste;Casa de Campo;217
