Fecha;Magnitud;Zona;Estación;Valor
2024-04-01;Temperatura media;Noroeste;Casa de Campo;7,3
2024-04-02;Temperatura media;Noroeste;Casa de Campo;9,1
2024-04-03;Temperatura media;Noroeste;Casa de Campo;12,3
2024-04-04;Temperatura media;Noroeste;Casa de Campo;13,2
2024-04-05;Temperatura media;Noroeste;Casa de Campo;15,1
2024-04-06;Temperatura media;Noroeste;Casa de Campo;17,7
2024-04-07;Temperatura media;Noroeste;Casa de Campo;16,7
2024-04-08;Temperatura media;Noroeste;Casa de Campo;12,5
2024-04-09;Temperatura media;Noroeste;Casa de Campo;10,7
2024-04-10;Temperatura media;Noroeste;Casa de Campo;13,1
2024-04-11;Temperatura media;Noroeste;Casa de Campo;17,7
2024-04-12;Temperatura media;Noroeste;Casa de Campo;17,8
2024-04-13;Temperatura media;Noroeste;Casa de Campo;18,5
2024-04-14;Temperatura media;Noroeste;Casa de Campo;18,7
2024-04-15;Temperatura media;Noroeste;Casa de Campo;19,6
2024-04-16;Temperatura media;Noroeste;Casa de Campo;17,9
2024-04-17;Temperatura media;Noroeste;Casa de Campo;15,6
2024-04-18;Temperatura media;Noroeste;Casa de Campo;14,7
2024-04-19;Temperatura media;Noroeste;Casa de Campo;14,4
2024-04-20;Temperatura media;Noroeste;Casa de Campo;16,6
2024-04-21;Temperatura media;Noroeste;Casa de Campo;16,8
2024-04-22;Temperatura media;Noroeste;Casa de Campo;12,5
2024-04-23;Temperatura media;Noroeste;Casa de Campo;10,1
2024-04-24;Temperatura media;Noroeste;Casa de Campo;11,4
2024-04-25;Temperatura media;Noroeste;Casa de Campo;12,6
2024-04-26;Temperatura media;Noroeste;Casa de Campo;12,3
2024-04-27;Temperatura media;Noroeste;Casa de Campo;10,3
2024-04-28;Temperatura media;Noroeste;Casa de Campo;11,0
2024-04-29;Temperatura media;Noroeste;Casa de Campo;12,0
2024-04-30;Temperatura media;Noroeste;Casa de Campo;12,2
