Fecha;Magnitud;Zona;Estación;Valor
2024-08-01;Temperatura media;Noroeste;Casa de Campo;29,6
2024-08-02;Temperatura media;Noroeste;Casa de Campo;28,4
2024-08-03;Temperatura media;Noroeste;Casa de Campo;28,7
2024-08-04;Temperatura media;Noroeste;Casa de Campo;30,2
2024-08-05;Temperatura media;Noroeste;Casa de Campo;31,0
2024-08-06;Temperatura media;Noroeste;Casa de Campo;30,1
2024-08-07;Temperatura media;Noroeste;Casa de Campo;29,6
2024-08-08;Temperatura media;Noroeste;Casa de Campo;30,9
2024-08-09;Temperatura media;Noroeste;Casa de Campo;31,6
2024-08-10;Temperatura media;Noroeste;Casa de Campo;32,1
2024-08-11;Temperatura media;Noroeste;Casa de Campo;31,6
2024-08-12;Temperatura media;Noroeste;Casa de Campo;30,3
2024-08-13;Temperatura media;Noroeste;Casa de Campo;26,5
2024-08-14;Temperatura media;Noroeste;Casa de Campo;26,6
2024-08-15;Temperatura media;Noroeste;Casa de Campo;23,5
2024-08-16;Temperatura media;Noroeste;Casa de Campo;26,7
2024-08-17;Temperatura media;Noroeste;Casa de Campo;28,0
2024-08-18;Temperatura media;Noroeste;Casa de Campo;28,9
2024-08-19;Temperatura media;Noroeste;Casa de Campo;27,5
2024-08-20;Temperatura media;Noroeste;Casa de Campo;28,8
2024-08-21;Temperatura media;Noroeste;Casa de Campo;28,5
2024-08-22;Temperatura media;Noroeste;Casa de Campo;29,4
2024-08-23;Temperatura media;Noroeste;Casa de Campo;28,5
2024-08-24;Temperatura media;Noroeste;Casa de Campo;28,3
2024-08-25;Temperatura media;Noroeste;Casa de Campo;27,4
2024-08-26;Temperatura media;Noroeste;Casa de Campo;27,2
2024-08-27;Temperatura media;Noroeste;Casa de Campo;28,2
2024-08-28;Temperatura media;Noroeste;Casa de Campo;28,3
2024-08-29;Temperatura media;Noroeste;Casa de Campo;24,4
2024-08-30;Temperatura media;Noroeste;Casa de Campo;25,2
2024-08-31;Temperatura media;Noroeste;Casa de Campo;22,7
