Fecha;Magnitud;Zona;Estación;Valor
2024-12-01;Temperatura media;Noroeste;Casa de Campo;10,4
2024-12-02;Temperatura media;Noroeste;Casa de Campo;12,0
2024-12-03;Temperatura media;Noroeste;Casa de Campo;9,6
2024-12-04;Temperatura media;Noroeste;Casa de Campo;11,7
2024-12-05;Temperatura media;Noroeste;Casa de Campo;9,0
2024-12-06;Temperatura media;Noroeste;Casa de Campo;10,4
2024-12-07;Temperatura media;Noroeste;Casa de Campo;10,1
2024-12-08;Temperatura media;Noroeste;Casa de Campo;6,7
2024-12-09;Temperatura media;Noroeste;Casa de Campo;5,3
2024-12-10;Temperatura media;Noroeste;Casa de Campo;5,0
2024-12-11;Temperatura media;Noroeste;Casa de Campo;6,0
2024-12-12;Temperatura media;Noroeste;Casa de Campo;5,8
2024-12-13;Temperatura media;Noroeste;Casa de Campo;6,5
2024-12-14;Temperatura media;Noroeste;Casa de Campo;-0,1
2024-12-15;Temperatura media;Noroeste;Casa de Campo;
2024-12-16;Temperatura media;Noroeste;Casa de Campo;
2024-12-17;Temperatura media;Noroeste;Casa de Campo;7,9
2024-12-18;Temperatura media;Noroeste;Casa de Campo;6,0
2024-12-19;Temperatura media;Noroeste;Casa de Campo;8,8
2024-12-20;Temperatura media;Noroeste;Casa de Campo;7,5
2024-12-21;Temperatura media;Noroeste;Casa de Campo;3,7
2024-12-22;Temperatura media;Noroeste;Casa de Campo;6,2
2024-12-23;Temperatura media;Noroeste;Casa de Campo;7,5
2024-12-24;Temperatura media;Noroeste;Casa de Campo;6,4
2024-12-25;Temperatura media;Noroeste;Casa de Campo;8,9
2024-12-26;Temperatura media;Noroeste;Casa de Campo;7,1
2024-12-27;Temperatura media;Noroeste;Casa de Campo;6,8
2024-12-28;Temperatura media;Noroeste;Casa de Campo;5,3
2024-12-29;Temperatura media;Noroeste;Casa de Campo;4,4
2024-12-30;Temperatura media;Noroeste;Casa de Campo;4,1
2024-12-31;Temperatura media;Noroeste;Casa de Campo;4,0
