Fecha;Magnitud;Zona;Estación;Valor
2024-01-01;Temperatura media;Noroeste;Casa de Campo;5,5
2024-01-02;Temperatura media;Noroeste;Casa de Campo;4,7
2024-01-03;Temperatura media;Noroeste;Casa de Campo;10,5
2024-01-04;Temperatura media;Noroeste;Casa de Campo;8,8
2024-01-05;Temperatura media;Noroeste;Casa de Campo;6,7
2024-01-06;Temperatura media;Noroeste;Casa de Campo;6,1
2024-01-07;Temperatura media;Noroeste;Casa de Campo;4,7
2024-01-08;Temperatura media;Noroeste;Casa de Campo;2,6
2024-01-09;Temperatura media;Noroeste;Casa de Campo;5,5
2024-01-10;Temperatura media;Noroeste;Casa de Campo;5,5
2024-01-11;Temperatura media;Noroeste;Casa de Campo;4,3
2024-01-12;Temperatura media;Noroeste;Casa de Campo;2,8
2024-01-13;Temperatura media;Noroeste;Casa de Campo;4,4
2024-01-14;Temperatura media;Noroeste;Casa de Campo;6,5
2024-01-15;Temperatura media;Noroeste;Casa de Campo;10,7
2024-01-16;Temperatura media;Noroeste;Casa de Campo;12,7
2024-01-17;Temperatura media;Noroeste;Casa de Campo;10,8
2024-01-18;Temperatura media;Noroeste;Casa de Campo;11,2
2024-01-19;Temperatura media;Noroeste;Casa de Campo;6,6
2024-01-20;Temperatura media;Noroeste;Casa de Campo;5,9
2024-01-21;Temperatura media;Noroeste;Casa de Campo;7,1
2024-01-22;Temperatura media;Noroeste;Casa de Campo;4,8
2024-01-23;Temperatura media;Noroeste;Casa de Campo;8,3
2024-01-24;Temperatura media;Noroeste;Casa de Campo;10,7
2024-01-25;Temperatura media;Noroeste;Casa de Campo;10,7
2024-01-26;Temperatura media;Noroeste;Casa de Campo;11,2
2024-01-27;Temperatura media;Noroeste;Casa de Campo;10,9
2024-01-28;Temperatura media;Noroeste;Casa de Campo;10,2
2024-01-29;Temperatura media;Noroeste;Casa de Campo;10,0
2024-01-30;Temperatura media;Noroeste;Casa de Campo;8,8
2024-01-31;Temperatura media;Noroeste;Casa de Campo;6,5
