Fecha;Magnitud;Zona;Estación;Valor
2024-02-01;Temperatura media;Noroeste;Casa de Campo;8,7
2024-02-02;Temperatura media;Noroeste;Casa de Campo;8,6
2024-02-03;Temperatura media;Noroeste;Casa de Campo;8,9
2024-02-04;Temperatura media;Noroeste;Casa de Campo;8,4
2024-02-05;Temperatura media;Noroeste;Casa de Campo;7,7
2024-02-06;Temperatura media;Noroeste;Casa de Campo;8,1
2024-02-07;Temperatura media;Noroeste;Casa de Campo;8,0
2024-02-08;Temperatura media;Noroeste;Casa de Campo;9,5
2024-02-09;Temperatura media;Noroeste;Casa de Campo;9,2
2024-02-10;Temperatura media;Noroeste;Casa de Campo;7,3
2024-02-11;Temperatura media;Noroeste;Casa de Campo;5,0
2024-02-12;Temperatura media;Noroeste;Casa de Campo;9,2
2024-02-13;Temperatura media;Noroeste;Casa de Campo;12,1
2024-02-14;Temperatura media;Noroeste;Casa de Campo;12,5
2024-02-15;Temperatura media;Noroeste;Casa de Campo;11,2
2024-02-16;Temperatura media;Noroeste;Casa de Campo;11,8
2024-02-17;Temperatura media;Noroeste;Casa de Campo;9,3
2024-02-18;Temperatura media;Noroeste;Casa de Campo;9,5
2024-02-19;Temperatura media;Noroeste;Casa de Campo;11,3
2024-02-20;Temperatura media;Noroeste;Casa de Campo;10,4
2024-02-21;Temperatura media;Noroeste;Casa de Campo;9,1
2024-02-22;Temperatura media;Noroeste;Casa de Campo;9,9
2024-02-23;Temperatura media;Noroeste;Casa de Campo;6,0
2024-02-24;Temperatura media;Noroeste;Casa de Campo;6,3
2024-02-25;Temperatura media;Noroeste;Casa de Campo;9,0
2024-02-26;Temperatura media;Noroeste;Casa de Campo;8,3
2024-02-27;Temperatura media;Noroeste;Casa de Campo;7,0
2024-02-28;Temperatura media;Noroeste;Casa de Campo;7,8
2024-02-29;Temperatura media;Noroeste;Casa de Campo;6,8
