Fecha;Magnitud;Zona;Estación;Valor
2024-07-01;Temperatura media;Noroeste;Casa de Campo;23,4
2024-07-02;Temperatura media;Noroeste;Casa de Campo;24,1
2024-07-03;Temperatura media;Noroeste;Casa de Campo;26,3
2024-07-04;Temperatura media;Noroeste;Casa de Campo;28,8
2024-07-05;Temperatura media;Noroeste;Casa de Campo;29,7
2024-07-06;Temperatura media;Noroeste;Casa de Campo;28,0
2024-07-07;Temperatura media;Noroeste;Casa de Campo;24,1
2024-07-08;Temperatura media;Noroeste;Casa de Campo;25,1
2024-07-09;Temperatura media;Noroeste;Casa de Campo;25,8
2024-07-10;Temperatura media;Noroeste;Casa de Campo;26,3
2024-07-11;Temperatura media;Noroeste;Casa de Campo;28,7
2024-07-12;Temperatura media;Noroeste;Casa de Campo;27,5
2024-07-13;Temperatura media;Noroeste;Casa de Campo;26,1
2024-07-14;Temperatura media;Noroeste;Casa de Campo;25,7
2024-07-15;Temperatura media;Noroeste;Casa de Campo;24,6
2024-07-16;Temperatura media;Noroeste;Casa de Campo;25,3
2024-07-17;Temperatura media;Noroeste;Casa de Campo;26,2
2024-07-18;Temperatura media;Noroeste;Casa de Campo;27,9
2024-07-19;Temperatura media;Noroeste;Casa de Campo;29,5
2024-07-20;Temperatura media;Noroeste;Casa de Campo;28,5
2024-07-21;Temperatura media;Noroeste;Casa de Campo;26,4
2024-07-22;Temperatura media;Noroeste;Casa de Campo;27,0
2024-07-23;Temperatura media;Noroeste;Casa de Campo;30,7
2024-07-24;Temperatura media;Noroeste;Casa de Campo;32,7
2024-07-25;Temperatura media;Noroeste;Casa de Campo;32,4
2024-07-26;Temperatura media;Noroeste;Casa de Campo;31,0
2024-07-27;Temperatura media;Noroeste;Casa de Campo;31,6
2024-07-28;Temperatura media;Noroeste;Casa de Campo;31,8
2024-07-29;Temperatura media;Noroeste;Casa de Campo;30,3
2024-07-30;Temperatura media;Noroeste;Casa de Campo;30,9
2024-07-31;Temperatura media;Noroeste;Casa de Campo;30,3
