Fecha;Magnitud;Zona;Estación;Valor
2024-06-01;Temperatura media;Noroeste;Casa de Campo;19,3
2024-06-02;Temperatura media;Noroeste;Casa de Campo;20,3
2024-06-03;Temperatura media;Noroeste;Casa de Campo;22,4
2024-06-04;Temperatura media;Noroeste;Casa de Campo;24,2
2024-06-05;Temperatura media;Noroeste;Casa de Campo;25,6
2024-06-06;Temperatura media;Noroeste;Casa de Campo;25,9
2024-06-07;Temperatura media;Noroeste;Casa de Campo;26,6
2024-06-08;Temperatura media;Noroeste;Casa de Campo;19,8
2024-06-09;Temperatura media;Noroeste;Casa de Campo;21,7
2024-06-10;Temperatura media;Noroeste;Casa de Campo;17,0
2024-06-11;Temperatura media;Noroeste;Casa de Campo;19,0
2024-06-12;Temperatura media;Noroeste;Casa de Campo;19,7
2024-06-13;Temperatura media;Noroeste;Casa de Campo;20,6
2024-06-14;Temperatura media;Noroeste;Casa de Campo;23,0
2024-06-15;Temperatura media;Noroeste;Casa de Campo;22,8
2024-06-16;Temperatura media;Noroeste;Casa de Campo;22,3
2024-06-17;Temperatura media;Noroeste;Casa de Campo;23,2
2024-06-18;Temperatura media;Noroeste;Casa de Campo;20,3
2024-06-19;Temperatura media;Noroeste;Casa de Campo;18,1
2024-06-20;Temperatura media;Noroeste;Casa de Campo;16,0
2024-06-21;Temperatura media;Noroeste;Casa de Campo;20,8
2024-06-22;Temperatura media;Noroeste;Casa de Campo;25,9
2024-06-23;Temperatura media;Noroeste;Casa de Campo;24,4
2024-06-24;Temperatura media;Noroeste;Casa de Campo;25,3
2024-06-25;Temperatura media;Noroeste;Casa de Campo;26,6
2024-06-26;Temperatura media;Noroeste;Casa de Campo;24,7
2024-06-27;Temperatura media;Noroeste;Casa de Campo;26,3
2024-06-28;Temperatura media;Noroeste;Casa de Campo;22,8
2024-06-29;Temperatura media;Noroeste;Casa de Campo;18,7
2024-06-30;Temperatura media;Noroeste;Casa de Campo;21,0
