Fecha;Magnitud;Zona;Estación;Valor
2024-03-01;Temperatura media;Noroeste;Casa de Campo;7,2
2024-03-02;Temperatura media;Noroeste;Casa de Campo;5,4
2024-03-03;Temperatura media;Noroeste;Casa de Campo;5,5
2024-03-04;Temperatura media;Noroeste;Casa de Campo;8,5
2024-03-05;Temperatura media;Noroeste;Casa de Campo;8,8
2024-03-06;Temperatura media;Noroeste;Casa de Campo;7,5
2024-03-07;Temperatura media;Noroeste;Casa de Campo;6,9
2024-03-08;Temperatura media;Noroeste;Casa de Campo;6,2
2024-03-09;Temperatura media;Noroeste;Casa de Campo;5,3
2024-03-10;Temperatura media;Noroeste;Casa de Campo;7,4
2024-03-11;Temperatura media;Noroeste;Casa de Campo;9,5
2024-03-12;Temperatura media;Noroeste;Casa de Campo;9,3
2024-03-13;Temperatura media;Noroeste;Casa de Campo;11,1
2024-03-14;Temperatura media;Noroeste;Casa de Campo;10,2
2024-03-15;Temperatura media;Noroeste;Casa de Campo;11,7
2024-03-16;Temperatura media;Noroeste;Casa de Campo;12,2
2024-03-17;Temperatura media;Noroeste;Casa de Campo;14,4
2024-03-18;Temperatura media;Noroeste;Casa de Campo;14,8
2024-03-19;Temperatura media;Noroeste;Casa de Campo;16,5
2024-03-20;Temperatura media;Noroeste;Casa de Campo;16,0
2024-03-21;Temperatura media;Noroeste;Casa de Campo;17,5
2024-03-22;Temperatura media;Noroeste;Casa de Campo;17,7
2024-03-23;Temperatura media;Noroeste;Casa de Campo;16,5
2024-03-24;Temperatura media;Noroeste;Casa de Campo;15,9
2024-03-25;Temperatura media;Noroeste;Casa de Campo;12,0
2024-03-26;Temperatura media;Noroeste;Casa de Campo;5,9
2024-03-27;Temperatura media;Noroeste;Casa de Campo;7,8
2024-03-28;Temperatura media;Noroeste;Casa de Campo;10,4
2024-03-29;Temperatura media;Noroeste;Casa de Campo;7,1
2024-03-30;Temperatura media;Noroeste;Casa de Campo;6,6
2024-03-31;Temperatura media;Noroeste;Casa de Campo;6,1
