Fecha;Magnitud;Zona;Estación;Valor
2024-05-01;Temperatura media;Noroeste;Casa de Campo;10,0
2024-05-02;Temperatura media;Noroeste;Casa de Campo;9,9
2024-05-03;Temperatura media;Noroeste;Casa de Campo;12,1
2024-05-04;Temperatura media;Noroeste;Casa de Campo;15,7
2024-05-05;Temperatura media;Noroeste;Casa de Campo;15,3
2024-05-06;Temperatura media;Noroeste;Casa de Campo;15,1
2024-05-07;Temperatura media;Noroeste;Casa de Campo;15,2
2024-05-08;Temperatura media;Noroeste;Casa de Campo;17,2
2024-05-09;Temperatura media;Noroeste;Casa de Campo;18,9
2024-05-10;Temperatura media;Noroeste;Casa de Campo;21,2
2024-05-11;Temperatura media;Noroeste;Casa de Campo;21,4
2024-05-12;Temperatura media;Noroeste;Casa de Campo;20,9
2024-05-13;Temperatura media;Noroeste;Casa de Campo;20,6
2024-05-14;Temperatura media;Noroeste;Casa de Campo;14,9
2024-05-15;Temperatura media;Noroeste;Casa de Campo;13,2
2024-05-16;Temperatura media;Noroeste;Casa de Campo;12,7
2024-05-17;Temperatura media;Noroeste;Casa de Campo;14,5
2024-05-18;Temperatura media;Noroeste;Casa de Campo;15,7
2024-05-19;Temperatura media;Noroeste;Casa de Campo;15,3
2024-05-20;Temperatura media;Noroeste;Casa de Campo;14,3
2024-05-21;Temperatura media;Noroeste;Casa de Campo;14,6
2024-05-22;Temperatura media;Noroeste;Casa de Campo;16,1
2024-05-23;Temperatura media;Noroeste;Casa de Campo;17,6
2024-05-24;Temperatura media;Noroeste;Casa de Campo;20,0
2024-05-25;Temperatura media;Noroeste;Casa de Campo;20,3
2024-05-26;Temperatura media;Noroeste;Casa de Campo;21,1
2024-05-27;Temperatura media;Noroeste;Casa de Campo;22,5
2024-05-28;Temperatura media;Noroeste;Casa de Campo;23,7
2024-05-29;Temperatura media;Noroeste;Casa de Campo;25,8
2024-05-30;Temperatura media;Noroeste;Casa de Campo;26,5
2024-05-31;Temperatura media;Noroeste;Casa de Campo;22,4
