Fecha;Magnitud;Zona;Estación;Valor
2024-11-01;Temperatura media;Noroeste;Casa de Campo;15,9
2024-11-02;Temperatura media;Noroeste;Casa de Campo;14,5
2024-11-03;Temperatura media;Noroeste;Casa de Campo;14,4
2024-11-04;Temperatura media;Noroeste;Casa de Campo;14,6
2024-11-05;Temperatura media;Noroeste;Casa de Campo;14,8
2024-11-06;Temperatura media;Noroeste;Casa de Campo;14,5
2024-11-07;Temperatura media;Noroeste;Casa de Campo;13,9
2024-11-08;Temperatura media;Noroeste;Casa de Campo;12,2
2024-11-09;Temperatura media;Noroeste;Casa de Campo;12,4
2024-11-10;Temperatura media;Noroeste;Casa de Campo;11,6
2024-11-11;Temperatura media;Noroeste;Casa de Campo;12,3
2024-11-12;Temperatura media;Noroeste;Casa de Campo;9,9
2024-11-13;Temperatura media;Noroeste;Casa de Campo;6,9
2024-11-14;Temperatura media;Noroeste;Casa de Campo;13,3
2024-11-15;Temperatura media;Noroeste;Casa de Campo;14,0
2024-11-16;Temperatura media;Noroeste;Casa de Campo;11,6
2024-11-17;Temperatura media;Noroeste;Casa de Campo;12,3
2024-11-18;Temperatura media;Noroeste;Casa de Campo;13,7
2024-11-19;Temperatura media;Noroeste;Casa de Campo;10,6
2024-11-20;Temperatura media;Noroeste;Casa de Campo;12,3
2024-11-21;Temperatura media;Noroeste;Casa de Campo;10,5
2024-11-22;Temperatura media;Noroeste;Casa de Campo;11,7
2024-11-23;Temperatura media;Noroeste;Casa de Campo;10,3
2024-11-24;Temperatura media;Noroeste;Casa de Campo;11,9
2024-11-25;Temperatura media;Noroeste;Casa de Campo;12,9
2024-11-26;Temperatura media;Noroeste;Casa de Campo;7,0
2024-11-27;Temperatura media;Noroeste;Casa de Campo;7,2
2024-11-28;Temperatura media;Noroeste;Casa de Campo;7,7
2024-11-29;Temperatura media;Noroeste;Casa de Campo;9,4
2024-11-30;Temperatura media;Noroeste;Casa de Campo;10,4
