Fecha;Magnitud;Zona;Estación;Valor
2024-10-01;Temperatura media;Noroeste;Casa de Campo;19,1
2024-10-02;Temperatura media;Noroeste;Casa de Campo;20,6
2024-10-03;Temperatura media;Noroeste;Casa de Campo;20,0
2024-10-04;Temperatura media;Noroeste;Casa de Campo;18,6
2024-10-05;Temperatura media;Noroeste;Casa de Campo;18,4
2024-10-06;Temperatura media;Noroeste;Casa de Campo;19,5
2024-10-07;Temperatura media;Noroeste;Casa de Campo;17,1
2024-10-08;Temperatura media;Noroeste;Casa de Campo;14,2
2024-10-09;Temperatura media;Noroeste;Casa de Campo;16,3
2024-10-10;Temperatura media;Noroeste;Casa de Campo;15,2
2024-10-11;Temperatura media;Noroeste;Casa de Campo;13,9
2024-10-12;Temperatura media;Noroeste;Casa de Campo;15,9
2024-10-13;Temperatura media;Noroeste;Casa de Campo;17,9
2024-10-14;Temperatura media;Noroeste;Casa de Campo;18,3
2024-10-15;Temperatura media;Noroeste;Casa de Campo;17,9
2024-10-16;Temperatura media;Noroeste;Casa de Campo;17,5
2024-10-17;Temperatura media;Noroeste;Casa de Campo;13,7
2024-10-18;Temperatura media;Noroeste;Casa de Campo;13,3
2024-10-19;Temperatura media;Noroeste;Casa de Campo;16,3
2024-10-20;Temperatura media;Noroeste;Casa de Campo;16,8
2024-10-21;Temperatura media;Noroeste;Casa de Campo;16,8
2024-10-22;Temperatura media;Noroeste;Casa de Campo;17,0
2024-10-23;Temperatura media;Noroeste;Casa de Campo;16,4
2024-10-24;Temperatura media;Noroeste;Casa de Campo;16,6
2024-10-25;Temperatura media;Noroeste;Casa de Campo;14,5
2024-10-26;Temperatura media;Noroeste;Casa de Campo;9,4
2024-10-27;Temperatura media;Noroeste;Casa de Campo;9,1
2024-10-28;Temperatura media;Noroeste;Casa de Campo;13,9
2024-10-29;Temperatura media;Noroeste;Casa de Campo;14,0
2024-10-30;Temperatura media;Noroeste;Casa de Campo;15,2
2024-10-31;Temperatura media;Noroeste;Casa de Campo;16,4
