Fecha;Magnitud;Zona;Estación;Valor
2024-09-01;Temperatura media;Noroeste;Casa de Campo;25,1
2024-09-02;Temperatura media;Noroeste;Casa de Campo;25,8
2024-09-03;Temperatura media;Noroeste;Casa de Campo;24,8
2024-09-04;Temperatura media;Noroeste;Casa de Campo;22,7
2024-09-05;Temperatura media;Noroeste;Casa de Campo;20,6
2024-09-06;Temperatura media;Noroeste;Casa de Campo;20,1
2024-09-07;Temperatura media;Noroeste;Casa de Campo;18,8
2024-09-08;Temperatura media;Noroeste;Casa de Campo;20,9
2024-09-09;Temperatura media;Noroeste;Casa de Campo;21,4
2024-09-10;Temperatura media;Noroeste;Casa de Campo;23,1
2024-09-11;Temperatura media;Noroeste;Casa de Campo;22,4
2024-09-12;Temperatura media;Noroeste;Casa de Campo;22,0
2024-09-13;Temperatura media;Noroeste;Casa de Campo;18,1
2024-09-14;Temperatura media;Noroeste;Casa de Campo;19,5
2024-09-15;Temperatura media;Noroeste;Casa de Campo;21,8
2024-09-16;Temperatura media;Noroeste;Casa de Campo;21,5
2024-09-17;Temperatura media;Noroeste;Casa de Campo;20,9
2024-09-18;Temperatura media;Noroeste;Casa de Campo;21,1
2024-09-19;Temperatura media;Noroeste;Casa de Campo;18,2
2024-09-20;Temperatura media;Noroeste;Casa de Campo;17,6
2024-09-21;Temperatura media;Noroeste;Casa de Campo;19,2
2024-09-22;Temperatura media;Noroeste;Casa de Campo;18,8
2024-09-23;Temperatura media;Noroeste;Casa de Campo;18,8
2024-09-24;Temperatura media;Noroeste;Casa de Campo;16,9
2024-09-25;Temperatura media;Noroeste;Casa de Campo;18,2
2024-09-26;Temperatura media;Noroeste;Casa de Campo;19,0
2024-09-27;Temperatura media;Noroeste;Casa de Campo;16,3
2024-09-28;Temperatura media;Noroeste;Casa de Campo;14,8
2024-09-29;Temperatura media;Noroeste;Casa de Campo;16,2
2024-09-30;Temperatura media;Noroeste;Casa de Campo;18,9
