Fecha;Magnitud;Zona;Estación;Valor
2024-05-01;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-05-02;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-05-03;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-05-04;Velocidad del viento;Noroeste;Casa de Campo;2,2
2024-05-05;Velocidad del viento;Noroeste;Casa de Campo;2,6
2024-05-06;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-05-07;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-05-08;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-05-09;Velocidad del viento;Noroeste;Casa de Campo;0,4
2024-05-10;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-05-11;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-05-12;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-05-13;Velocidad del viento;Noroeste;Casa de Campo;1,9
2024-05-14;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-05-15;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-05-16;Velocidad del viento;Noroeste;Casa de Campo;1,9
2024-05-17;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-05-18;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-05-19;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-05-20;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-05-21;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-05-22;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-05-23;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-05-24;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-05-25;Velocidad del viento;Noroeste;Casa de Campo;1,8
2024-05-26;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-05-27;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-05-28;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-05-29;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-05-30;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-05-31;Velocidad del viento;Noroeste;Casa de Campo;1,5
