Fecha;Magnitud;Zona;Estación;Valor
2024-04-01;Velocidad del viento;Noroeste;Casa de Campo;2,8
2024-04-02;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-04-03;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-04-04;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-04-05;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-06;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-04-07;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-04-08;Velocidad del viento;Noroeste;Casa de Campo;2,4
2024-04-09;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-04-10;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-04-11;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-04-12;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-04-13;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-04-14;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-04-15;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-04-16;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-17;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-18;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-04-19;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-20;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-21;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-04-22;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-04-23;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-04-24;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-04-25;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-26;Velocidad del viento;Noroeste;Casa de Campo;2,0
2024-04-27;Velocidad del viento;Noroeste;Casa de Campo;2,9
2024-04-28;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-04-29;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-04-30;Velocidad del viento;Noroeste;Casa de Campo;1,8
