Fecha;Magnitud;Zona;Estación;Valor
2024-08-01;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-08-02;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-08-03;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-04;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-08-05;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-08-06;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-08-07;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-08;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-09;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-08-10;Velocidad del viento;Noroeste;Casa de Campo;2,0
2024-08-11;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-08-12;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-08-13;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-08-14;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-08-15;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-08-16;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-17;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-08-18;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-08-19;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-08-20;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-21;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-08-22;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-08-23;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-08-24;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-08-25;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-08-26;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-08-27;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-08-28;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-08-29;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-08-30;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-08-31;Velocidad del viento;Noroeste;Casa de Campo;0,9
