Fecha;Magnitud;Zona;Estación;Valor
2024-01-01;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-01-02;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-03;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-01-04;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-01-05;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-01-06;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-01-07;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-01-08;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-01-09;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-01-10;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-01-11;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-01-12;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-01-13;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-14;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-01-15;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-01-16;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-01-17;Velocidad del viento;Noroeste;Casa de Campo;3,4
2024-01-18;Velocidad del viento;Noroeste;Casa de Campo;3,1
2024-01-19;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-01-20;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-01-21;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-01-22;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-23;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-24;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-25;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-26;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-27;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-28;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-29;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-01-30;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-01-31;Velocidad del viento;Noroeste;Casa de Campo;0,5
