Fecha;Magnitud;Zona;Estación;Valor
2024-02-01;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-02-02;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-02-03;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-04;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-05;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-06;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-02-07;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-02-08;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-02-09;Velocidad del viento;Noroeste;Casa de Campo;2,2
2024-02-10;Velocidad del viento;Noroeste;Casa de Campo;2,2
2024-02-11;Velocidad del viento;Noroeste;Casa de Campo;2,0
2024-02-12;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-02-13;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-02-14;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-15;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-02-16;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-02-17;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-18;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-02-19;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-20;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-02-21;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-02-22;Velocidad del viento;Noroeste;Casa de Campo;2,5
2024-02-23;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-02-24;Velocidad del viento;Noroeste;Casa de Campo;1,9
2024-02-25;Velocidad del viento;Noroeste;Casa de Campo;4,2
2024-02-26;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-02-27;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-02-28;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-02-29;Velocidad del viento;Noroeste;Casa de Campo;1,4
