Fecha;Magnitud;Zona;Estación;Valor
2024-07-01;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-07-02;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-07-03;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-07-04;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-07-05;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-07-06;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-07-07;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-07-08;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-07-09;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-07-10;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-07-11;Velocidad del viento;Noroeste;Casa de Campo;2,2
2024-07-12;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-07-13;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-07-14;Velocidad del viento;Noroeste;Casa de Campo;2,4
2024-07-15;Velocidad del viento;Noroeste;Casa de Campo;3,6
2024-07-16;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-07-17;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-07-18;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-07-19;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-07-20;Velocidad del viento;Noroeste;Casa de Campo;2,2
2024-07-21;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-07-22;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-07-23;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-07-24;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-07-25;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-07-26;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-07-27;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-07-28;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-07-29;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-07-30;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-07-31;Velocidad del viento;Noroeste;Casa de Campo;1,5
