Fecha;Magnitud;Zona;Estación;Valor
2024-11-01;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-11-02;Velocidad del viento;Noroeste;Casa de Campo;0,4
2024-11-03;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-11-04;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-11-05;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-06;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-07;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-11-08;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-09;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-10;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-11;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-11-12;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-11-13;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-11-14;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-11-15;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-11-16;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-11-17;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-18;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-11-19;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-11-20;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-11-21;Velocidad del viento;Noroeste;Casa de Campo;3,3
2024-11-22;Velocidad del viento;Noroeste;Casa de Campo;1,8
2024-11-23;Velocidad del viento;Noroeste;Casa de Campo;0,1
2024-11-24;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-11-25;Velocidad del viento;Noroeste;Casa de Campo;1,6
2024-11-26;Velocidad del viento;Noroeste;Casa de Campo;0,1
2024-11-27;Velocidad del viento;Noroeste;Casa de Campo;0,1
2024-11-28;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-29;Velocidad del viento;Noroeste;Casa de Campo;0,2
2024-11-30;Velocidad del viento;Noroeste;Casa de Campo;0,2
