Fecha;Magnitud;Zona;Estación;Valor
2024-10-01;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-10-02;Velocidad del viento;Noroeste;Casa de Campo;2,1
2024-10-03;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-10-04;Velocidad del viento;Noroeste;Casa de Campo;0,4
2024-10-05;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-10-06;Velocidad del viento;Noroeste;Casa de Campo;2,7
2024-10-07;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-10-08;Velocidad del viento;Noroeste;Casa de Campo;2,3
2024-10-09;Velocidad del viento;Noroeste;Casa de Campo;2,9
2024-10-10;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-10-11;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-10-12;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-10-13;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-10-14;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-10-15;Velocidad del viento;Noroeste;Casa de Campo;1,9
2024-10-16;Velocidad del viento;Noroeste;Casa de Campo;2,7
2024-10-17;Velocidad del viento;Noroeste;Casa de Campo;2,0
2024-10-18;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-10-19;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-10-20;Velocidad del viento;Noroeste;Casa de Campo;0,4
2024-10-21;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-10-22;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-10-23;Velocidad del viento;Noroeste;Casa de Campo;0,3
2024-10-24;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-10-25;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-10-26;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-10-27;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-10-28;Velocidad del viento;Noroeste;Casa de Campo;1,4
2024-10-29;Velocidad del viento;Noroeste;Casa de Campo;1,9
2024-10-30;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-10-31;Velocidad del viento;Noroeste;Casa de Campo;0,7
