Fecha;Magnitud;Zona;Estación;Valor
2024-09-01;Velocidad del viento;Noroeste;Casa de Campo;0,9
2024-09-02;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-03;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-04;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-09-05;Velocidad del viento;Noroeste;Casa de Campo;0,8
2024-09-06;Velocidad del viento;Noroeste;Casa de Campo;1,8
2024-09-07;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-09-08;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-09-09;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-09-10;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-09-11;Velocidad del viento;Noroeste;Casa de Campo;0,7
2024-09-12;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-13;Velocidad del viento;Noroeste;Casa de Campo;1,8
2024-09-14;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-09-15;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-09-16;Velocidad del viento;Noroeste;Casa de Campo;1,2
2024-09-17;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-09-18;Velocidad del viento;Noroeste;Casa de Campo;1,1
2024-09-19;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-20;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-09-21;Velocidad del viento;Noroeste;Casa de Campo;1,3
2024-09-22;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-23;Velocidad del viento;Noroeste;Casa de Campo;1,0
2024-09-24;Velocidad del viento;Noroeste;Casa de Campo;1,7
2024-09-25;Velocidad del viento;Noroeste;Casa de Campo;2,6
2024-09-26;Velocidad del viento;Noroeste;Casa de Campo;4,5
2024-09-27;Velocidad del viento;Noroeste;Casa de Campo;1,5
2024-09-28;Velocidad del viento;Noroeste;Casa de Campo;0,6
2024-09-29;Velocidad del viento;Noroeste;Casa de Campo;0,5
2024-09-30;Velocidad del viento;Noroeste;Casa de Campo;0,5
