Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
13/01/2021;15;49,25;4,75;54;10,26;38,99
14/01/2021;10;45,59;4,56;50,15;2,22;43,37
15/01/2021;14;68,64;6,87;75,5;7,98;60,66
16/01/2021;17;81,32;8,13;89,45;7,17;74,15
17/01/2021;25;185,4;20,15;205,55;17,9;167,5
18/01/2021;16;66,71;6,9;73,6;6,76;59,95
20/01/2021;8;32,5;3,25;35,75;9,01;23,49
21/01/2021;11;40,15;4,04;44,19;8,58;31,57
22/01/2021;22;89;8,9;97,9;10,08;78,92
23/01/2021;23;175,93;17,44;193,37;29,8;146,13
24/01/2021;39;262,23;25,64;287,87;14,89;247,34
25/01/2021;13;49,91;4,99;54,9;5,55;44,36
26/01/2021;16;82,22;8,24;90,46;9,61;72,61
27/01/2021;32;162;16,2;178,2;10,64;151,36
28/01/2021;23;118,08;12,51;130,59;12,24;105,84
29/01/2021;34;222,38;22,31;244,68;25,01;197,37
30/01/2021;17;76,7;8,15;84,84;4,51;72,19
31/01/2021;24;164,61;16,05;180,66;10,45;154,16
01/02/2021;17;69,78;6,77;76,55;2,33;67,45
03/02/2021;13;42,62;4,26;46,88;1,81;40,81
04/02/2021;22;90,96;9,1;100,06;9,45;81,51
05/02/2021;51;337,07;40,72;377,79;46,65;290,42
06/02/2021;38;265,95;26,21;292,16;16,66;249,29
07/02/2021;59;342,93;38,92;381,85;40,67;302,26
08/02/2021;16;87,08;8,5;95,58;2,69;84,39
10/02/2021;22;112,87;10,67;123,54;5,44;107,43
11/02/2021;18;89,26;9,47;98,72;4,8;84,46
12/02/2021;35;202,01;19,84;221,84;19,95;182,06
13/02/2021;75;589,14;60,61;649,75;63,62;525,52
14/02/2021;130;831,63;93,6;925,23;94,75;736,88
15/02/2021;30;134,53;13,04;147,57;15,17;119,36
17/02/2021;32;163,12;16,33;179,45;11,11;152,01
18/02/2021;46;204,66;20,9;225,56;13,25;191,41
19/02/2021;65;339,12;37,13;376,25;37,54;301,58
20/02/2021;105;656,64;74,83;731,47;74,29;582,35
21/02/2021;33;220,34;21,85;242,19;7,45;212,89
22/02/2021;27;117,18;11,74;128,92;6,49;110,69
24/02/2021;26;107,25;10,72;117,97;7,52;99,73
25/02/2021;37;160,37;16,43;176,8;16,38;143,99
26/02/2021;78;431,15;47,3;478,45;56,11;375,04
27/02/2021;140;905,15;97,39;1002,54;70,67;834,48
28/02/2021;75;480,63;54,58;535,21;47,99;432,64
01/03/2021;19;120,82;12,08;132,9;7,95;112,87
03/03/2021;26;100,34;10,24;110,58;10,36;89,98
04/03/2021;20;86,59;8,46;95,05;3,44;83,15
05/03/2021;62;372,63;40,66;413,29;27,81;344,82
06/03/2021;94;647,01;71,96;718,97;74,15;572,86
07/03/2021;61;431,72;43,97;475,69;39,05;392,67
09/03/2021;42;173,18;17,12;190,29;9,65;163,53
10/03/2021;41;186,93;19,37;206,3;11,31;175,62
11/03/2021;61;274,83;28,97;303,8;16,39;258,44
12/03/2021;53;288,97;32,63;321,59;31,97;257
13/03/2021;115;748,17;90,87;839,04;71,84;676,33
14/03/2021;135;993,94;118,07;1112;87,49;906,45
16/03/2021;60;280,52;28,13;308,65;22,3;258,22
17/03/2021;47;208,03;22,07;230,1;13,35;194,68
18/03/2021;50;198,88;20,19;219,07;8,81;190,07
19/03/2021;59;480,26;50,36;530,62;44,56;435,7
20/03/2021;74;447,87;48,91;496,77;53,4;394,47
21/03/2021;101;694,95;79;773,94;57,52;637,43
23/03/2021;60;292,79;30,7;323,49;26,62;266,17
24/03/2021;65;270,56;31,23;301,79;21,97;248,59
25/03/2021;80;355,69;36,74;392,43;13,9;341,79
26/03/2021;63;343,72;34,91;378,63;25,94;317,78
27/03/2021;98;764,24;87,44;851,68;53,23;711,01
28/03/2021;151;1002,04;115,1;1117,14;58,66;943,38
30/03/2021;84;412,72;41,76;454,47;11,25;401,47
31/03/2021;109;537,09;55,61;592,7;31,61;505,48
01/04/2021;164;1082,1;121,32;1203,42;70,3;1011,8
02/04/2021;64;375,52;36,54;412,06;12,44;363,08
03/04/2021;101;558,7;64,64;623,34;37,61;521,09
04/04/2021;180;1235,71;130,88;1366,58;53,98;1181,73
06/04/2021;70;347,24;37,67;384,91;21,69;325,55
07/04/2021;85;395,07;41,13;436,2;18,7;376,37
08/04/2021;62;284,4;30;314,4;13,58;270,82
09/04/2021;55;307,5;32,45;339,95;11,73;295,77
10/04/2021;122;778,89;82,51;861,4;22,37;756,52
11/04/2021;82;535,29;56,36;591,65;18,97;516,32
14/04/2021;57;213,19;22,21;235,4;12,11;201,08
15/04/2021;40;180,87;17,88;198,75;3,37;177,5
16/04/2021;86;514,44;56,61;571,05;34,21;480,23
17/04/2021;146;924,23;101,52;1025,75;38,7;885,53
18/04/2021;163;1103,6;128,1;1231,7;64,33;1039,27
20/04/2021;30;122,66;12,49;135,15;5,97;116,69
21/04/2021;35;159,18;15,92;175,1;4,83;154,35
22/04/2021;34;126,29;12,91;139,2;5,36;120,93
23/04/2021;63;356,99;37,96;394,95;12,25;344,74
24/04/2021;61;416,01;43,39;459,4;9,5;406,51
25/04/2021;26;192,3;20,6;212,9;8,79;183,51
27/04/2021;41;156,34;16,61;172,95;8,15;148,19
28/04/2021;44;220,03;22,42;242,45;5,74;214,29
29/04/2021;43;237,07;24,23;261,3;7,22;229,85
30/04/2021;72;376,35;37,75;414,1;8,87;367,48
01/05/2021;87;628,68;69,32;698;25,2;603,48
02/05/2021;148;1188,45;133,6;1322,05;53,91;1134,54
04/05/2021;118;632,71;69,24;701,95;35;597,71
05/05/2021;93;426,43;44,57;471;13,57;412,86
06/05/2021;75;383,38;39,22;422,6;8,47;374,91
07/05/2021;150;868,48;99,32;967,8;35,79;832,69
08/05/2021;137;831,09;90,91;922;26,52;804,57
10/05/2021;31;119,82;11,98;131,8;5,18;114,64
11/05/2021;35;176,45;18,55;195;6,29;170,16
12/05/2021;43;214,37;21,03;235,4;4,24;210,13
13/05/2021;34;164,68;16,72;181,4;2,11;162,57
14/05/2021;117;666,52;71,08;737,6;20,83;645,69
15/05/2021;158;1071,83;114,17;1186;25,66;1046,17
16/05/2021;140;923,13;97,17;1020,3;18,02;905,11
18/05/2021;69;350,66;35,89;386,55;8,74;341,92
19/05/2021;100;447,93;45,47;493,4;6,1;441,83
20/05/2021;97;524,58;54,07;578,65;9,25;515,33
21/05/2021;118;660;69,1;729,1;13,34;646,66
22/05/2021;100;672,75;67,85;740,6;12,46;660,29
23/05/2021;78;577,19;61,01;638,2;34,48;542,71
25/05/2021;88;407,17;43,18;450,35;8,59;398,58
26/05/2021;77;397,67;40,48;438,15;4,27;393,4
27/05/2021;93;428,45;45,1;473,55;9,94;418,51
28/05/2021;128;693,63;73,87;767,5;17,62;676,01
29/05/2021;166;1102,36;114,14;1216,5;12,66;1089,7
30/05/2021;171;1238,97;134,98;1373,95;44,99;1193,98
01/06/2021;88;488,78;50,57;539,35;5,55;483,23
02/06/2021;93;525,05;53,9;578,95;6,32;518,73
03/06/2021;80;403,9;40,7;444,6;3,15;400,75
04/06/2021;133;800,61;82,94;883,55;11,71;788,9
05/06/2021;75;520,99;54,41;575,4;11,37;509,62
06/06/2021;140;1016,69;107,51;1124,2;18,76;997,93
07/06/2021;59;354,08;35,92;390;2,89;351,19
08/06/2021;87;409,79;42,21;452;5,66;404,13
09/06/2021;95;501,48;50,92;552,4;3,57;497,91
10/06/2021;93;454,83;46,87;501,7;6,88;447,95
11/06/2021;78;428,97;44,08;473,05;4,48;424,49
12/06/2021;119;766,24;80,06;846,3;10,21;756,03
13/06/2021;116;812,07;86,73;898,8;16,74;795,33
14/06/2021;70;351,63;35,82;387,45;2,21;349,42
16/06/2021;71;402,78;41,87;444,65;6,13;396,65
17/06/2021;57;328,36;34,09;362,45;3,87;324,49
18/06/2021;88;434,95;45,2;480,15;6,42;428,53
19/06/2021;104;698,69;70,56;769,25;4,27;694,42
20/06/2021;65;517,81;51,99;569,8;4,08;513,73
22/06/2021;55;237,03;24,42;261,45;2,83;234,2
