Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
2021-02-01,11.3,0.0,73.0,132.0,3.2
2021-02-02,9.8,0.0,91.0,49.0,2.3
2021-02-03,10.0,0.0,88.0,49.0,1.4
2021-02-04,10.7,0.0,85.0,75.0,1.5
2021-02-05,11.7,0.13,75.0,124.0,1.6
2021-02-06,8.7,0.05,91.0,60.0,1.4
2021-02-07,6.9,0.02,81.0,123.0,2.6
2021-02-08,7.1,0.34,90.0,108.0,3.6
2021-02-09,5.7,0.19,96.0,1.0,2.6
2021-02-10,11.4,0.04185185185185185,77.0,114.77777777777777,1.7555555555555553
2021-02-11,11.4,0.09,96.0,41.0,2.1
2021-02-12,10.9,0.1,78.0,131.0,2.2
2021-02-13,10.2,0.0,67.0,142.0,1.2
2021-02-14,8.7,0.0,75.0,156.0,0.9
2021-02-15,9.9,0.0,76.0,130.0,1.0
2021-02-16,8.6,0.0,78.0,129.0,1.2
2021-02-17,10.1,0.0,76.0,137.0,1.1
2021-02-18,9.0,0.0,73.0,149.0,1.6
2021-02-19,9.3,0.0,67.0,164.0,1.2
2021-02-20,10.3,0.0,59.0,157.0,2.0
2021-02-21,9.2,0.21,78.0,46.0,3.0
2021-02-22,7.8,0.0,66.0,103.0,1.8
2021-02-23,7.1,0.0,75.0,165.0,1.1
2021-02-24,8.7,0.0,79.0,119.0,1.6
2021-02-25,10.1,0.0,72.0,113.0,1.3
2021-02-26,10.7,0.0,68.0,151.0,0.8
2021-02-27,11.7,0.0,59.0,189.0,0.8
2021-02-28,9.1,0.0,67.0,156.0,2.3
2021-03-01,8.5,0.0,75.0,14.0,1.6
2021-03-02,11.0,0.0,69.0,106.0,1.3
2021-03-03,11.1,0.0,74.0,110.0,0.7
2021-03-04,8.6,0.0,85.0,81.0,0.7
2021-03-05,9.7,0.0,76.0,142.0,1.0
2021-03-06,11.4,0.0,64.0,142.0,1.2
2021-03-07,9.9,0.12,75.0,144.0,1.1
2021-03-08,7.1,0.3,89.0,103.0,0.9
2021-03-09,8.4,0.1,62.0,190.0,1.6
2021-03-10,7.4,0.0,64.0,218.0,1.2
2021-03-11,10.6,0.0,71.0,209.0,1.7
2021-03-12,10.3,0.0,67.0,187.0,1.9
2021-03-13,7.8,0.0,60.0,229.0,1.8
